time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02500,0.00000,0.00000,0.00032,-0.00000,0.00000,0.00000,6.59301,3.14947,0.43966,22.36068,0.00000,0.99968,7.30663,0.00000,2.62179,0.00000
0.08570,0.00586,-0.00000,0.00293,0.62543,0.00000,0.22912,8.58229,4.09642,0.57110,22.35544,0.00262,0.99707,9.50981,0.00000,1.84275,0.00000
0.12106,0.14063,0.02208,0.01526,3.00988,0.46907,0.38774,9.14975,4.31177,0.60577,22.22507,0.04315,0.98474,10.11481,0.00000,1.90488,0.00000
0.15959,0.34081,0.09185,0.03772,6.17611,1.95446,0.69323,9.25753,4.19257,0.60591,22.01489,0.07026,0.96228,10.16265,0.00000,1.98654,0.00000
0.20082,0.77117,0.23632,0.07364,10.12413,2.97079,0.94291,9.17276,3.82892,0.58629,21.56565,0.13351,0.92636,9.93982,0.00000,1.89146,0.00000
0.23903,1.28666,0.44057,0.11700,13.09491,3.98711,1.22930,9.01721,3.34357,0.55739,21.01361,0.18136,0.88300,9.61715,0.00000,1.85296,0.00000
0.27618,1.85443,0.71013,0.16652,17.00384,5.39432,1.41730,8.84956,2.81512,0.51826,20.38537,0.19417,0.83348,9.28653,0.00000,2.02562,0.00000
0.31211,2.54897,1.03112,0.21948,19.50556,5.58977,1.53332,8.57688,2.32932,0.46251,19.62089,0.21767,0.78052,8.88755,0.00000,1.49567,0.00000
0.34734,3.27873,1.37454,0.27678,23.21904,5.04252,1.64348,8.26715,1.70368,0.39895,18.81488,0.23686,0.72322,8.44087,0.00000,2.01804,0.00000
0.38880,4.22347,1.84958,0.34559,26.15073,4.92525,1.70810,7.82915,0.89115,0.33710,17.75749,0.23448,0.65441,7.87970,0.00000,1.36063,0.00000
0.42589,5.23975,2.40051,0.40931,28.73063,4.26073,1.73747,7.15208,0.19000,0.28319,16.60173,0.19621,0.59069,7.15460,0.00000,1.25942,0.00000
0.45605,6.09825,2.87683,0.46186,30.37238,3.16623,1.69341,6.44588,-0.37159,0.23605,15.62044,0.15410,0.53814,6.45659,0.00000,1.26146,0.00000
0.48619,6.93661,3.33279,0.51023,32.71774,1.60266,1.60676,5.67156,-0.83565,0.18235,14.66642,0.12121,0.48977,5.73279,0.00000,1.42450,0.00000
0.51785,7.85508,3.84051,0.55970,33.26498,0.07818,1.52304,5.04666,-1.12565,0.13875,13.61758,0.07784,0.44030,5.17067,0.00000,1.65083,0.00000
0.55184,8.79896,4.36947,0.60580,32.79591,-1.32904,1.32330,4.55612,-1.20610,0.11028,12.53659,0.02684,0.39420,4.71305,0.00000,1.80862,0.00000
0.59947,10.22993,5.17853,0.66343,34.28131,-3.47895,1.11181,3.87327,-1.30907,0.07963,10.89499,0.05686,0.33657,4.08851,0.00000,1.65317,0.00000
0.63327,11.21968,5.78156,0.69735,33.42134,-4.14346,0.98256,3.45526,-1.24964,0.06526,9.74112,0.15359,0.30265,3.67429,0.00000,1.34137,0.00000
0.66498,12.15558,6.31409,0.72743,32.67865,-5.74613,0.92087,2.75536,-1.36900,0.03457,8.66723,0.21136,0.27257,3.07672,0.00000,1.47613,0.00000
0.69727,13.04402,6.85927,0.75383,32.28775,-5.90248,0.81072,2.14494,-1.44025,0.01490,7.63216,0.30165,0.24617,2.58362,0.00000,1.39562,0.00000
0.72927,13.89384,7.41610,0.77762,31.62324,-5.35523,0.72848,1.68915,-1.40551,0.00213,6.63036,0.41965,0.22238,2.19743,0.00000,1.33904,0.00000
0.75989,14.68998,7.96415,0.79797,30.09875,-5.39432,0.64476,1.27519,-1.33268,-0.00669,5.68692,0.55379,0.20203,1.84449,0.00000,1.42537,0.00000
0.79129,15.41587,8.48205,0.81761,28.88698,-5.15979,0.61539,-7.87581,-10.33653,-0.59349,48.69829,4.58413,1.81761,12.99509,1.00000,1.50792,0.00000
0.82559,16.20861,9.03269,0.83379,27.83157,-5.82430,0.44648,-11.03450,-12.84788,-0.77307,49.17906,3.79139,1.83379,16.93600,1.00000,1.38454,16.87352
0.85765,16.88534,9.43955,0.84062,24.35263,-6.91880,0.15128,-12.16883,-13.52290,-0.82771,49.53756,3.11466,1.84062,18.19201,1.00000,1.35304,18.16638
0.88687,17.47275,9.70827,0.84258,20.48279,-8.52147,0.02644,-12.72222,-13.72387,-0.84854,49.77247,2.52725,1.84258,18.71362,1.00000,1.42800,18.71304
0.91745,18.04185,9.90216,0.83738,17.59018,-9.73323,-0.26877,-13.03738,-13.85887,-0.85809,49.94057,1.95815,1.83738,19.02739,1.00000,1.33846,19.03891
0.94689,18.54252,9.93448,0.82170,12.74311,-11.14045,-0.60657,-13.08988,-14.09080,-0.86459,49.95575,1.45748,1.82170,19.23267,1.00000,1.34575,19.23177
0.97619,18.95985,9.86661,0.80167,8.44329,-11.96132,-0.75785,-13.03800,-14.42624,-0.87328,49.87746,1.04015,1.80167,19.44494,1.00000,1.28450,19.41802
1.00588,19.35201,9.71238,0.77610,5.82430,-13.25127,-0.87388,-12.88817,-14.83638,-0.88018,49.71660,0.64799,1.77610,19.65256,1.00000,1.34954,0.00000
1.03651,19.69360,9.45336,0.74692,2.50171,-13.68125,-1.00606,-12.59923,-15.33741,-0.88515,49.45430,0.30640,1.74692,19.84885,1.00000,1.37025,0.00000
1.06783,19.98159,9.14469,0.71169,0.11727,-14.15032,-1.12209,-12.17669,-15.84391,-0.88268,49.14470,0.01841,1.71169,19.98252,1.00000,1.51433,0.00000
1.10645,20.30574,8.57067,0.66582,-3.32259,-16.02661,-1.24986,-11.59331,-16.28159,-0.87463,48.57162,0.30574,1.66582,19.98737,1.00000,2.21287,0.00000
1.14011,20.50583,7.98786,0.62254,-5.62886,-17.12111,-1.31889,-10.94051,-16.70933,-0.86361,47.99053,0.50583,1.62254,19.97239,1.00000,1.42771,0.00000
1.17098,20.68685,7.38660,0.58036,-6.52791,-18.91922,-1.40701,-10.29525,-16.95948,-0.84831,47.39158,0.68685,1.58036,19.83976,1.00000,1.51521,0.00000
1.19979,20.84535,6.74259,0.53851,-7.11425,-20.13098,-1.42611,-9.63237,-17.09920,-0.83292,46.75024,0.84535,1.53851,19.62563,1.00000,1.34400,0.00000
1.22976,20.96107,6.07456,0.49555,-8.05239,-21.30366,-1.45401,-8.92706,-17.17564,-0.81822,46.08458,0.96107,1.49555,19.35704,1.00000,1.27867,0.00000
1.25681,21.07323,5.41971,0.45561,-7.89604,-22.71088,-1.47898,-8.20316,-17.22014,-0.80289,45.43239,1.07323,1.45561,19.07420,1.00000,1.15529,0.00000
1.28327,21.17444,4.72682,0.41695,-8.01330,-24.50898,-1.50689,-7.41670,-17.20516,-0.78641,44.74224,1.17444,1.41695,18.73566,1.00000,1.11125,0.00000
1.31041,21.23985,3.98186,0.37647,-8.59964,-25.75984,-1.49514,-6.68823,-17.11825,-0.77011,43.99934,1.23985,1.37647,18.37844,1.00000,1.27808,0.00000
1.34387,21.35967,3.04437,0.32574,-7.66150,-27.79248,-1.48486,-5.90218,-16.87642,-0.75158,43.06584,1.35967,1.32574,17.87874,1.00000,1.25563,0.00000
1.37251,21.43925,2.15110,0.28437,-6.87971,-29.19970,-1.45989,-5.23144,-16.66243,-0.73514,42.17567,1.43926,1.28437,17.46438,1.00000,1.45512,0.00000
1.40283,21.46582,1.22052,0.23958,-7.77877,-30.60691,-1.44373,-4.55082,-16.41248,-0.71511,41.24657,1.46583,1.23958,17.03172,1.00000,1.44900,0.00000
1.43186,21.51580,0.27281,0.19941,-6.87971,-32.01413,-1.41289,-3.90310,-16.14239,-0.69514,40.30133,1.51580,1.19941,16.60755,1.00000,1.45512,0.00000
1.46186,21.56730,-0.75158,0.15985,-5.27705,-32.95227,-1.32330,-3.27775,-15.83185,-0.67410,39.27970,1.56730,1.15985,16.16759,1.00000,1.50996,0.00000
1.49321,21.53786,-1.81713,0.11762,-6.09793,-35.02400,-1.32036,-2.66331,-15.51329,-0.65409,38.21383,1.53786,1.11762,15.74025,1.00000,1.45279,0.00000
1.52555,21.50433,-2.94292,0.07625,-5.12070,-34.82856,-1.29686,-2.06000,-15.17705,-0.63295,37.08760,1.50433,1.07625,15.31622,1.00000,1.45717,0.00000
1.55727,21.49282,-4.16886,0.03532,-3.40077,-36.70484,-1.28658,-1.40225,-14.74880,-0.60890,35.86222,1.49282,1.03532,14.81531,1.00000,1.72579,0.00000
1.59323,21.47952,-5.32705,-0.01025,-2.03264,-37.72116,-1.28511,-0.65790,-14.32828,-0.58162,34.70450,1.47952,0.98975,14.34337,1.00000,1.58083,0.00000
1.63960,21.40237,-7.30565,-0.06873,-0.70361,-39.55836,-1.29246,0.15619,-13.61728,-0.55098,32.72442,1.40237,0.93127,13.61817,1.00000,1.41633,0.00000
1.66868,21.32683,-8.59725,-0.10717,0.27363,-40.41832,-1.30861,0.71676,-13.15638,-0.52637,31.43076,1.32683,0.89283,13.17589,1.00000,1.25388,0.00000
1.69614,21.24813,-9.70327,-0.14391,1.25086,-40.65286,-1.34680,1.13844,-12.41727,-0.50132,30.32243,1.24813,0.85609,12.46935,1.00000,1.30258,0.00000
1.72622,21.15966,-10.86940,-0.18420,2.46263,-40.80922,-1.38352,1.57474,-11.71054,-0.47690,29.15367,1.15966,0.81580,11.81595,1.00000,1.44900,0.00000
1.76008,20.97561,-12.30256,-0.23496,2.69716,-41.12193,-1.51570,2.07519,-11.07059,-0.45007,27.71461,0.97561,0.76504,11.26341,1.00000,1.40175,0.00000
1.79139,20.78429,-13.65772,-0.28286,3.51804,-41.55191,-1.59060,2.51885,-10.61810,-0.42250,26.35395,0.78429,0.71714,10.91277,1.00000,1.33175,0.00000
1.82357,20.60405,-14.93492,-0.33576,5.43341,-41.43465,-1.60382,2.88219,-10.07242,-0.39157,25.07236,0.60405,0.66424,10.47667,1.00000,1.64383,0.00000
1.86198,20.37979,-16.50600,-0.39910,8.28693,-41.74736,-1.68019,3.24517,-9.28016,-0.35596,23.49707,0.37979,0.60090,9.83120,1.00000,1.55342,0.00000
1.89610,20.15654,-17.89059,-0.45558,10.08504,-40.65286,-1.71838,3.57122,-8.58011,-0.32186,22.10996,0.15654,0.54442,9.29365,1.00000,1.45892,0.00000
1.92888,19.97068,-19.31034,-0.51133,12.54766,-39.20656,-1.68900,3.80659,-7.67946,-0.28582,20.68968,0.02932,0.48867,8.57113,1.00000,1.52571,0.00000
1.96414,19.77657,-20.68333,-0.57115,14.97120,-39.40200,-1.67872,3.94307,-6.74247,-0.24755,19.31796,0.22343,0.42885,7.81081,1.00000,1.61058,0.00000
1.99849,19.52571,-22.17085,-0.62849,16.76930,-38.42477,-1.64054,3.91944,-5.78573,-0.21417,17.83545,0.47429,0.37151,6.98833,1.00000,1.60913,0.00000
2.03489,19.38446,-23.55624,-0.68379,19.93554,-35.21945,-1.49220,3.75524,-5.00896,-0.18175,16.45528,0.61554,0.31621,6.26031,1.00000,1.74708,0.00000
2.06625,19.23677,-25.03727,-0.72925,23.06268,-34.55493,-1.44814,3.53966,-4.29975,-0.15505,14.98219,0.76323,0.27075,5.56929,1.00000,1.46563,0.00000
2.10683,19.10301,-26.38850,-0.78519,22.74997,-30.72418,-1.31449,3.28849,-3.64130,-0.12862,13.64103,0.89699,0.21481,4.90645,1.00000,1.44492,0.00000
2.14722,19.02208,-28.02154,-0.83477,26.30709,-29.00425,-1.16909,2.83332,-2.89545,-0.10556,12.01831,0.97792,0.16523,4.05109,1.00000,1.73337,0.00000
2.18264,18.95448,-29.38935,-0.87585,26.07256,-26.50254,-1.11768,2.39220,-2.29352,-0.08498,10.66204,1.04552,0.12415,3.31404,1.00000,1.24133,0.00000
2.21457,18.97613,-30.44184,-0.90899,26.15073,-21.69456,-1.03543,1.94616,-1.77026,-0.06796,9.61285,1.02387,0.09101,2.63085,1.00000,1.50908,0.00000
2.24686,18.95138,-31.55993,-0.94255,26.58072,-21.42093,-0.99431,1.48657,-1.27154,-0.05165,8.50496,1.04862,0.05745,1.95620,1.00000,1.44492,0.00000
2.28497,19.03735,-32.73431,-0.97912,26.42436,-16.14388,-0.94437,0.98621,-0.92540,-0.03674,7.32918,0.96265,0.02088,1.35240,1.00000,1.49946,0.00000
2.31816,19.13300,-33.73629,-1.00945,26.42436,-14.42395,-0.89297,0.64931,-0.63425,-0.02461,6.32343,0.86700,0.00945,0.90768,1.00000,1.51783,0.00000
