time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02613,0.00000,0.00000,0.00001,-0.00000,0.00000,0.00000,5.97729,3.20525,0.42958,22.36068,0.00000,0.99999,6.78245,0.00000,1.19758,0.00000
0.08278,-0.00000,-0.00000,0.00250,0.03909,0.00000,0.20268,7.77054,4.14633,0.55787,22.36068,0.00000,0.99750,8.80758,0.00000,0.90883,0.00000
0.12439,0.11325,0.02590,0.01667,2.57989,0.93814,0.37452,8.27555,4.29723,0.59330,22.24782,0.02748,0.98333,9.32475,0.00000,0.97504,0.00000
0.15607,0.29000,0.09335,0.03294,5.15979,1.83720,0.57867,8.37306,4.17177,0.60014,22.05960,0.04620,0.96706,9.35478,0.00000,0.87617,0.00000
0.19172,0.55628,0.19830,0.05781,8.09148,2.81443,0.74022,8.30758,3.89407,0.59603,21.77457,0.07141,0.94219,9.17495,0.00000,0.88317,0.00000
0.22492,0.92350,0.34694,0.08727,9.88959,3.55713,0.96200,8.15822,3.55335,0.58552,21.37977,0.10269,0.91273,8.89847,0.00000,0.86917,0.00000
0.25502,1.32450,0.51584,0.12177,13.01673,4.06529,1.18671,8.00184,3.13235,0.56961,20.94573,0.13096,0.87823,8.59308,0.00000,0.93537,0.00000
0.28836,1.79115,0.70746,0.16495,15.47936,4.29982,1.35708,7.87998,2.62027,0.54680,20.44294,0.16826,0.83505,8.30421,0.00000,0.92342,0.00000
0.32041,2.32287,0.95384,0.21224,17.12111,4.69071,1.51864,7.78320,2.12085,0.52317,19.85734,0.18567,0.78776,8.06699,0.00000,1.03833,0.00000
0.36148,3.09491,1.32688,0.27817,20.75641,4.92525,1.66110,7.67951,1.53446,0.48990,19.00013,0.19728,0.72183,7.83131,0.00000,0.97212,0.00000
0.39340,3.81584,1.69155,0.33305,22.71088,4.61254,1.75363,7.56678,0.97991,0.45930,18.19224,0.19352,0.66695,7.62997,0.00000,0.83650,0.00000
0.42591,4.53157,2.05531,0.39111,25.68166,3.67439,1.83734,7.45509,0.42056,0.42419,17.38937,0.18825,0.60889,7.46695,0.00000,0.82512,0.00000
