time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02328,0.00000,0.00000,0.00029,-0.00000,0.00000,0.00000,5.57813,2.62500,0.39515,22.36068,0.00000,0.99971,6.16491,0.00000,0.64954,0.00000
0.09205,0.02150,0.00001,0.00443,0.66452,0.00000,0.22471,7.25156,3.41250,0.51370,22.34145,0.00961,0.99557,8.01438,0.00000,0.62388,0.00000
0.12782,0.13667,0.02797,0.01714,3.40077,0.78179,0.40536,7.75359,3.64875,0.54926,22.22596,0.03611,0.98286,8.56922,0.00000,0.49117,0.00000
0.15852,0.32328,0.08975,0.03438,5.66795,1.75902,0.60217,7.90420,3.71962,0.55993,22.03148,0.06430,0.96562,8.73568,0.00000,0.44537,0.00000
0.18890,0.59779,0.18496,0.05500,8.67782,2.65807,0.74169,7.94939,3.08464,0.56313,21.74352,0.10190,0.94500,8.52688,0.00000,0.44917,0.00000
0.21861,0.90285,0.29755,0.07987,10.28048,3.16623,0.93116,7.96294,2.89414,0.56409,21.42052,0.13763,0.92013,8.47257,0.00000,0.41592,0.00000
0.24873,1.30821,0.44982,0.11269,13.25127,3.86984,1.12209,7.96701,2.83699,0.56438,20.99021,0.18272,0.88731,8.45705,0.00000,0.52325,0.00000
0.27817,1.78330,0.65048,0.14819,16.57386,4.76889,1.22636,7.96823,2.81985,0.49575,20.47588,0.21571,0.85181,8.45247,0.00000,0.41300,0.00000
0.31030,2.30205,0.88325,0.19035,18.56741,5.19888,1.34974,7.47641,2.81470,0.47515,19.90810,0.23951,0.80965,7.98869,0.00000,0.46725,0.00000
0.34047,2.95311,1.17377,0.23332,21.18639,5.08161,1.46870,7.32886,2.15691,0.46898,19.19632,0.27082,0.76668,7.63966,0.00000,0.50108,0.00000
0.37176,3.70432,1.51981,0.28224,23.96173,4.92525,1.54801,7.28460,1.30332,0.41558,18.37016,0.29727,0.71776,7.40027,0.00000,0.49525,0.00000
0.40598,4.48656,1.92952,0.33578,25.99438,5.27705,1.63319,7.27132,1.04725,0.39956,17.48713,0.28063,0.66422,7.34634,0.00000,0.49379,0.00000
0.43789,5.29838,2.39084,0.38962,28.76972,5.23796,1.71104,6.61108,0.31417,0.39476,16.55406,0.23107,0.61038,6.61854,0.00000,0.49846,0.00000
0.47001,6.17252,2.88072,0.44566,30.80236,4.06529,1.76978,6.41301,0.09425,0.32459,15.55260,0.18384,0.55434,6.41370,0.00000,0.53433,0.00000
0.50482,7.10382,3.40164,0.50711,32.83500,2.30627,1.77125,5.69734,-0.62797,0.30355,14.48620,0.13440,0.49289,5.73185,0.00000,0.49817,0.00000
0.53813,8.17344,4.02343,0.56469,34.59402,0.74270,1.71397,5.48264,-0.84464,0.29723,13.25092,0.05661,0.43531,5.54732,0.00000,0.44333,0.00000
