time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02226,0.00000,0.00000,0.00086,-0.00000,0.00000,0.00000,9.60938,5.15625,0.61359,22.36068,0.00000,0.99914,10.90537,0.00000,0.48504,0.00000
0.07484,0.00586,-0.00000,0.00162,0.50816,0.03909,0.10134,9.60938,5.15625,0.61359,22.35544,0.00262,0.99838,10.90537,0.00000,0.47571,0.00000
0.10395,0.10554,0.00403,0.00833,2.11082,0.19545,0.25996,10.07813,5.15625,0.61359,22.26453,0.04359,0.99167,11.32058,0.00000,0.49088,0.00000
0.13968,0.27137,0.04244,0.02077,5.12070,0.93814,0.43474,10.07813,4.68750,0.61359,22.09913,0.08340,0.97923,11.11491,0.00000,0.48592,0.00000
0.17351,0.58672,0.10758,0.03764,7.89604,1.60266,0.52873,9.60938,4.68750,0.61359,21.78842,0.16616,0.96236,10.69171,0.00000,0.43050,0.00000
0.20584,0.91252,0.18224,0.05751,10.12413,2.11082,0.66385,9.60938,4.68750,0.61359,21.46439,0.24509,0.94249,10.69171,0.00000,0.45063,0.00000
0.23185,1.27878,0.28465,0.07793,11.88314,2.50171,0.81513,9.14063,3.98438,0.61359,21.09199,0.31730,0.92207,9.97127,0.00000,0.37450,0.00000
0.26080,1.70790,0.41383,0.10443,14.73666,3.20532,0.97081,9.14063,4.68750,0.61359,20.65177,0.39365,0.89557,10.27247,0.00000,0.41533,0.00000
0.29230,2.22690,0.59970,0.13971,17.35564,4.14346,1.15734,9.14063,3.98438,0.53996,20.10593,0.45952,0.86029,9.97127,0.00000,0.34942,0.00000
0.32188,2.86465,0.85212,0.17832,19.81827,4.80798,1.37617,9.14063,3.51563,0.53996,19.42431,0.51895,0.82168,9.79340,0.00000,0.34417,0.00000
0.36079,3.63804,1.19412,0.23547,23.25813,5.31614,1.48486,7.50000,2.34375,0.53996,18.58110,0.55892,0.76453,7.85768,0.00000,0.49467,0.00000
0.39319,4.47064,1.56132,0.28514,25.05623,4.96434,1.60088,7.96875,1.64063,0.49087,17.67405,0.60284,0.71486,8.13589,0.00000,0.46171,0.00000
0.42517,5.28209,1.98961,0.34075,27.67522,5.86339,1.78300,6.79688,1.17188,0.49087,16.75659,0.58266,0.65925,6.89716,0.00000,0.40192,0.00000
0.46133,6.18232,2.49801,0.40777,31.07598,5.55068,1.90050,6.79688,1.17188,0.41724,15.72285,0.53053,0.59223,6.89716,0.00000,0.45208,0.00000
0.49384,7.23683,3.07334,0.47084,32.17049,3.12714,2.01359,6.79688,0.46875,0.36816,14.52161,0.48753,0.52916,6.81302,0.00000,0.37450,0.00000
0.52555,8.11209,3.60679,0.53403,32.87409,2.42354,1.96659,5.85938,-0.46875,0.36816,13.49799,0.40183,0.46597,5.87810,0.00000,0.39492,0.00000
0.55483,9.04463,4.19140,0.59102,35.14127,1.17268,1.92253,5.85938,0.00000,0.29452,12.40000,0.29598,0.40898,5.85938,0.00000,0.48913,0.00000
0.59388,10.19071,4.92114,0.66637,35.76670,-1.25086,1.88140,5.15625,-1.17188,0.17181,11.04613,0.15582,0.33363,5.28774,0.00000,0.39812,0.00000
0.63277,11.40555,5.71300,0.73433,37.01756,-3.12714,1.69194,4.68750,-0.46875,0.17181,9.60432,0.00914,0.26567,4.71088,0.00000,0.54775,0.00000
0.66322,12.43042,6.39731,0.78242,36.66575,-5.08161,1.50982,2.81250,-1.17188,0.12272,8.38319,0.16287,0.21758,3.04688,0.00000,0.33979,0.00000
0.69150,13.22339,6.99096,0.82317,36.04033,-5.35523,1.39967,2.81250,-1.17188,0.12272,7.41463,0.33922,0.17683,3.04688,0.00000,0.33396,0.00000
0.71573,13.91783,7.49454,0.85488,35.61034,-6.25429,1.35855,1.64063,-0.46875,0.04909,6.57800,0.47908,0.14512,1.70628,0.00000,0.33367,0.00000
0.74463,14.76597,8.09558,0.89365,35.25854,-7.93513,1.29833,1.64063,-1.17188,0.04909,5.56973,0.63736,0.10635,2.01617,0.00000,0.33338,0.00000
0.77442,15.53330,8.75474,0.93009,34.39857,-6.91880,1.20580,-18.75000,-14.06250,-1.00629,48.95892,4.46670,1.93009,23.43750,1.00000,0.33192,0.00000
0.80324,16.31615,9.39681,0.96165,32.71774,-7.70059,1.07068,-19.21875,-13.59375,-1.05538,49.53399,3.68385,1.96165,23.54040,1.00000,0.37712,24.30301
0.83128,16.95480,9.86784,0.98528,30.33329,-8.99054,0.81513,-19.45313,-13.12500,-1.05538,49.96074,3.04520,1.98528,23.46678,1.00000,0.34883,24.27021
0.85729,17.57412,10.29566,1.00423,26.11164,-9.96777,0.69910,-20.15625,-13.12500,-1.05538,50.35413,2.42588,2.00423,24.05286,1.00000,0.39171,24.88375
0.88834,18.24747,10.71937,1.02008,23.53175,-10.71047,0.37599,-20.39063,-12.65625,-1.00629,50.74964,1.75253,2.02008,23.99913,1.00000,0.30304,24.86726
0.91404,18.73749,10.89920,1.02414,19.93554,-12.46948,0.11603,-21.09375,-12.18750,-1.00629,50.91485,1.26251,2.02414,24.36147,1.00000,0.31442,25.28457
0.93892,19.20115,10.99858,1.02562,14.11123,-13.17309,0.03525,-20.39063,-11.71875,-1.00629,51.00484,0.79885,2.02562,23.51822,1.00000,0.30071,24.44844
0.96323,19.61479,11.05822,1.02612,11.88314,-13.21218,-0.01762,-20.85938,-11.71875,-1.00629,51.05968,0.38521,2.02612,23.92577,1.00000,0.38850,24.87168
0.98911,19.98326,11.01720,1.02276,7.97422,-13.05582,-0.16449,-20.85938,-11.71875,-1.00629,51.01721,0.01673,2.02276,23.92577,1.00000,0.40017,0.00000
