time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02181,0.00000,0.00000,0.00069,0.00000,-0.00000,-0.00147,6.60520,0.18312,-0.00263,20.00000,16.64101,0.00069,6.60774,0.00000,0.71283,0.00000
0.07468,0.00195,-0.00000,-0.00178,0.15636,-0.03909,-0.07344,8.58077,0.26154,-0.00268,19.99804,16.63938,0.00178,8.58475,0.00000,0.70758,0.00000
0.11373,0.11528,-0.01394,-0.00236,2.77534,-0.27363,0.04847,9.13754,0.29369,-0.00254,19.88472,16.55282,0.00236,9.14225,0.00000,0.85808,0.00000
0.15061,0.34590,-0.01650,0.00077,6.21520,-0.03909,0.11603,9.24073,0.27333,-0.00339,19.65410,16.36235,0.00077,9.24477,0.00000,0.65654,0.00000
0.18231,0.64884,-0.01637,0.00590,9.10780,0.03909,0.16743,9.19040,0.21977,-0.00466,19.35116,16.11021,0.00590,9.19302,0.00000,0.61104,0.00000
0.21368,0.99277,-0.00476,0.01162,10.86682,0.19545,0.19534,9.07900,0.14641,-0.00612,19.00723,15.81761,0.01162,9.08018,0.00000,0.48271,0.00000
0.24278,1.42657,0.00584,0.01685,13.36854,0.23454,0.16743,8.92576,0.09137,-0.00743,18.57343,15.45079,0.01685,8.92622,0.00000,0.78546,0.00000
0.27437,1.91874,0.03157,0.02336,15.90934,0.46907,0.21737,8.74821,0.04572,-0.00919,18.08129,15.02701,0.02336,8.74833,0.00000,0.70087,0.00000
0.30572,2.47349,0.05194,0.02936,17.59018,0.42998,0.18652,8.53487,0.00529,-0.01110,17.52659,14.55413,0.02936,8.53487,0.00000,0.56379,0.00000
0.33634,3.11239,0.06837,0.03508,19.70100,-0.03909,0.18652,8.28071,-0.02646,-0.01303,16.88775,14.01342,0.03508,8.28075,0.00000,0.55563,0.00000
0.36719,3.78466,0.08183,0.04107,21.69456,-0.27363,0.19827,7.99641,-0.04555,-0.01533,16.21555,13.44659,0.04107,7.99654,0.00000,0.61075,0.00000
0.39762,4.54119,0.14173,0.04663,23.17995,0.74270,0.17184,7.67057,-0.08669,-0.01837,15.45946,12.78389,0.04663,7.67106,0.00000,0.56117,0.00000
0.42811,5.31221,0.18105,0.05114,25.05623,0.42998,0.13071,7.31915,-0.11091,-0.02120,14.68891,12.12055,0.05114,7.31999,0.00000,0.62679,0.00000
0.45966,6.15929,0.18671,0.05460,26.15073,-0.85996,0.10281,6.94254,-0.10077,-0.02391,13.84197,11.41260,0.05460,6.94327,0.00000,0.66733,0.00000
0.49436,6.99500,0.22405,0.05796,27.47977,-0.58634,0.10134,6.56183,-0.08114,-0.02697,13.00693,10.69653,0.05796,6.56233,0.00000,0.65946,0.00000
0.52821,7.98932,0.26126,0.06094,28.73063,-0.42998,0.09987,6.12094,-0.04631,-0.03041,12.01352,9.84857,0.06094,6.12111,0.00000,0.68221,0.00000
0.57062,9.25758,0.30256,0.06383,29.31697,-0.78179,0.08225,5.54457,0.00328,-0.03471,10.74668,8.77040,0.06383,5.54457,0.00000,0.72392,0.00000
0.60155,10.22607,0.34776,0.06508,29.66877,-0.58634,0.05875,5.02555,0.04468,-0.03801,9.78012,7.93950,0.06508,5.02575,0.00000,0.48825,0.00000
0.63156,11.13390,0.39240,0.06579,30.17693,-0.50816,0.01909,4.54198,0.08395,-0.04070,8.87478,7.15938,0.06579,4.54276,0.00000,0.50050,0.00000
0.66123,12.00985,0.44556,0.06568,29.82513,-0.19545,-0.02497,4.07668,0.11716,-0.04290,8.00256,6.40105,0.06568,4.07837,0.00000,0.62883,0.00000
0.69254,12.90751,0.49629,0.06514,28.88698,-0.19545,-0.03084,3.60703,0.13025,-0.04513,7.10984,5.62602,0.06514,3.60938,0.00000,0.77583,0.00000
0.73591,14.07153,0.57718,0.06366,28.45700,0.11727,-0.06462,3.07302,0.10660,-0.04723,5.95650,4.61263,0.06366,3.07487,0.00000,0.55183,0.00000
0.76811,15.03147,0.63380,0.06197,28.06611,-0.03909,-0.06022,2.59388,0.07668,-0.04915,5.00880,3.78250,0.06197,2.59501,0.00000,0.50371,0.00000
0.80099,15.84021,0.69704,0.06009,26.34618,0.35180,-0.04112,2.17844,0.04869,-0.04879,4.21778,3.07450,0.06009,2.17899,0.00000,0.64721,0.00000
0.83205,16.67490,0.75259,0.05883,25.48622,0.27363,-0.04847,1.79627,-0.00716,-0.04513,3.40921,2.34919,0.05883,1.79629,0.00000,0.55271,0.00000
0.86133,17.44434,0.78564,0.05798,25.21259,-0.23454,-0.03525,7.01696,-10.05192,-0.46484,38.16430,1.69064,1.05798,12.25883,1.00000,0.56875,0.00000
0.89302,18.16458,0.82300,0.05633,24.39172,-0.23454,-0.07197,8.35037,-13.04021,-0.59018,37.77357,1.07065,1.05633,15.48469,1.00000,0.56525,14.59841
0.92173,18.86395,0.81236,0.04780,23.02359,-1.32904,-0.38921,8.60860,-13.85419,-0.62442,37.36488,0.49464,1.04780,16.31093,1.00000,0.58275,15.44291
0.95453,19.56808,0.73103,0.03033,22.90632,-3.28350,-0.59189,8.64899,-13.93413,-0.62750,36.90338,0.04612,1.03033,16.40015,1.00000,0.56554,15.53252
0.98622,20.29118,0.61175,0.01032,23.02359,-4.26073,-0.71232,8.63704,-13.76288,-0.62001,36.40765,0.58162,1.01032,16.24855,1.00000,0.61396,15.37356
1.01862,21.06167,0.32496,-0.01815,23.02359,-8.28693,-0.91794,8.61166,-13.45666,-0.60607,35.75281,1.06362,0.98185,15.97631,1.00000,0.55913,15.08818
1.05117,21.78181,0.05721,-0.05164,23.25813,-8.48238,-1.09124,8.64089,-13.18385,-0.58651,35.14738,1.51429,0.94836,15.76321,1.00000,0.57954,14.85823
1.08834,22.68140,-0.42072,-0.09424,23.64902,-11.06227,-1.19846,8.76264,-12.80005,-0.55928,34.27634,1.99769,0.90576,15.51210,1.00000,0.47950,0.00000
1.11770,23.35623,-0.83835,-0.13335,23.72720,-12.00041,-1.35120,8.99296,-12.32831,-0.53323,33.57703,2.32752,0.86665,15.25977,1.00000,0.48504,0.00000
1.14752,24.01015,-1.29891,-0.17557,24.11809,-12.15677,-1.44667,9.25508,-11.75403,-0.50831,32.85465,2.61614,0.82443,14.96041,1.00000,1.14479,0.00000
1.17901,24.68473,-1.80368,-0.22187,25.01715,-12.70402,-1.52304,9.51802,-11.10556,-0.48160,32.08722,2.89744,0.77813,14.62622,1.00000,0.48562,0.00000
1.21061,25.37338,-2.39046,-0.27118,24.93897,-12.93855,-1.53332,9.66588,-10.41400,-0.45100,31.24460,3.14493,0.72882,14.20847,1.00000,0.49613,0.00000
1.24137,26.07323,-3.01862,-0.31665,26.65890,-13.40763,-1.45695,9.74044,-9.69448,-0.42053,30.36363,3.37880,0.68335,13.74260,1.00000,0.66092,0.00000
1.27340,26.80868,-3.67951,-0.36187,28.49609,-13.01673,-1.39086,9.75570,-8.98430,-0.39120,29.44111,3.62414,0.63813,13.26240,1.00000,0.69854,0.00000
1.30473,27.51500,-4.41322,-0.40485,28.96516,-13.13400,-1.32036,9.72566,-8.42083,-0.36472,28.47031,3.80484,0.59515,12.86463,1.00000,0.56233,0.00000
1.33652,28.24232,-5.17737,-0.44388,30.45056,-13.48580,-1.24546,9.68616,-7.98544,-0.33960,27.46646,3.98614,0.55612,12.55344,1.00000,0.70554,0.00000
1.36880,29.01145,-5.98510,-0.48438,32.32684,-12.86038,-1.19846,9.64565,-7.59451,-0.31399,26.40953,4.17804,0.51562,12.27661,1.00000,0.64867,0.00000
1.40318,29.81137,-6.93221,-0.52406,33.26498,-13.05582,-1.18671,9.54015,-7.18241,-0.29081,25.21767,4.31825,0.47594,11.94159,1.00000,0.56379,0.00000
1.43689,30.63721,-7.83790,-0.56431,34.78947,-11.80497,-1.16027,9.37665,-6.74803,-0.26787,24.05869,4.50301,0.43569,11.55238,1.00000,0.76038,0.00000
1.46782,31.44495,-8.82437,-0.59882,36.27486,-11.92223,-1.11915,9.07076,-6.26064,-0.24535,22.83848,4.62790,0.40118,11.02154,1.00000,0.61571,0.00000
1.49793,32.15723,-9.72919,-0.63136,36.70484,-11.57043,-1.08096,8.67810,-5.79501,-0.22548,21.73510,4.71864,0.36864,10.43511,1.00000,0.67083,0.00000
1.52803,32.86177,-10.63649,-0.66404,37.33027,-11.17954,-1.03543,8.22403,-5.35009,-0.20641,20.63734,4.80158,0.33596,9.81112,1.00000,0.56175,0.00000
1.56259,33.62467,-11.77019,-0.69766,38.58113,-11.84405,-1.01781,7.72072,-4.87281,-0.18734,19.31245,4.80749,0.30234,9.12983,1.00000,0.67462,0.00000
1.60337,34.65651,-13.12237,-0.73822,40.06652,-9.10780,-0.93703,7.12750,-4.34888,-0.16620,17.70331,4.91597,0.26178,8.34950,1.00000,0.73238,0.00000
1.63619,35.44490,-14.25970,-0.76734,41.12193,-9.14689,-0.89591,6.58986,-3.88925,-0.14935,16.38615,4.94108,0.23266,7.65196,1.00000,0.56058,0.00000
1.67144,36.26083,-15.41783,-0.79770,41.12193,-8.01330,-0.82247,6.02254,-3.46412,-0.13253,15.05394,4.97755,0.20230,6.94774,1.00000,0.66675,0.00000
1.70588,37.08089,-16.61373,-0.82549,41.35647,-7.07516,-0.77400,5.42774,-3.04078,-0.11367,13.70085,4.99652,0.17451,6.22148,1.00000,1.77917,0.00000
