time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.03031,0.00000,0.00000,0.00049,0.00000,-0.00000,-0.00294,3.75000,0.00000,0.00000,10.00000,8.94427,0.00049,3.75000,0.00000,16.40975
0.13478,0.12307,-0.01234,-0.01246,3.51804,-0.58634,-0.12484,2.34375,0.00000,0.04909,9.87694,8.83971,0.01246,2.34375,0.00000,1.29967
0.17397,0.44122,-0.04948,-0.01359,7.23152,-0.58634,0.07050,1.17188,0.46875,0.04909,9.55891,8.57176,0.01359,1.26215,0.00000,1.37025
0.21559,0.96106,-0.05614,-0.00771,12.86038,-0.03909,0.12778,-1.17188,0.46875,0.07363,9.03911,8.10978,0.00771,1.26215,0.00000,1.21479
0.25345,1.59443,-0.04131,0.00357,15.67480,0.42998,0.44208,-3.04688,1.17188,0.04909,8.40567,7.53664,0.00357,3.26447,0.00000,1.33000
0.29849,2.11194,0.03769,0.02598,13.48580,1.75902,0.48908,-3.04688,1.17188,0.04909,7.88815,7.03844,0.02598,3.26447,0.00000,3.10304
0.33588,2.42948,0.08279,0.04387,7.89604,0.78179,0.45530,-0.46875,1.17188,0.00000,7.57097,6.73425,0.04387,1.26215,0.00000,2.39663
0.37917,2.46394,0.09995,0.05576,-0.15636,0.31271,0.13659,2.57813,-0.70313,0.00000,7.53672,6.69575,0.05576,2.67229,0.00000,1.69692
0.41943,2.30467,0.15012,0.05507,-3.63530,1.56357,-0.05581,4.21875,-1.17188,-0.04909,7.69679,6.81578,0.05507,4.37849,0.00000,2.89100
0.45741,2.30420,0.19316,0.05890,0.27363,1.25086,0.04700,3.51563,-1.17188,-0.04909,7.69822,6.79694,0.05890,3.70579,0.00000,1.18037
0.49321,2.40788,0.26185,0.06021,2.97079,1.36813,0.08225,2.34375,-0.70313,-0.04909,7.59663,6.67349,0.06021,2.44695,0.00000,1.26846
0.53439,2.76282,0.28535,0.06632,9.18598,0.23454,0.15568,-0.70313,0.70313,0.04909,7.24280,6.34552,0.06632,0.99437,0.00000,1.02725
0.57543,3.38726,0.29149,0.07432,14.50213,-0.70361,0.27758,-3.04688,2.34375,0.04909,6.61916,5.78426,0.07432,3.84404,0.00000,1.11563
0.63050,4.04339,0.39956,0.09347,10.74955,1.32904,0.39067,-2.57813,1.40625,0.00000,5.96999,5.14906,0.09347,2.93671,0.00000,1.16725
0.66563,4.31170,0.44821,0.10840,8.16966,0.93814,0.41858,-1.87500,1.17188,-0.04909,5.70593,4.88733,0.10840,2.21109,0.00000,1.06138
0.70328,4.33489,0.52539,0.11446,1.28995,1.79811,0.04406,1.17188,-1.40625,-0.04909,5.68942,4.83207,0.11446,1.83053,0.00000,1.13050
0.74249,4.14163,0.56447,0.10992,-4.45618,1.60266,-0.27024,3.75000,-2.57813,-0.07363,5.88550,4.98744,0.10992,4.55074,0.00000,1.01442
0.78334,3.98728,0.53767,0.10314,-4.18255,-0.03909,-0.16156,4.21875,-1.87500,-0.07363,6.03671,5.13749,0.10314,4.61665,0.00000,0.98933
0.82177,3.93137,0.50832,0.09948,-1.13359,-0.78179,-0.02203,3.51563,-1.17188,-0.04909,6.08989,5.20062,0.09948,3.70579,0.00000,1.31221
0.86287,4.11222,0.46745,0.10006,5.00343,-1.40721,0.02937,0.70313,0.46875,0.00000,5.90630,5.05714,0.10006,0.84505,0.00000,1.03950
0.90555,4.59878,0.49294,0.10395,9.88959,-0.31271,0.07784,-1.40625,1.17188,0.04909,5.42367,4.61055,0.10395,1.83053,0.00000,0.98875
0.94285,5.08644,0.56524,0.10710,13.21218,0.46907,0.09693,-0.46875,-7.03125,-0.04909,25.40361,4.14203,0.10710,7.04686,1.00000,0.95871
0.98118,5.48387,0.68906,0.11466,10.82773,1.87629,0.09987,0.00000,-7.73438,-0.07363,25.27360,3.73119,0.11466,7.73438,1.00000,1.08063
1.01308,5.76797,0.66430,0.11654,8.83418,-0.62543,0.04994,0.70313,-7.50000,-0.04909,25.09111,3.48815,0.11654,7.53289,1.00000,0.94150
1.04534,6.00226,0.57965,0.12269,7.46605,-3.83075,0.16156,1.17188,-6.32813,-0.07363,24.88893,3.31646,0.12269,6.43572,1.00000,1.96525
1.08097,6.22207,0.31112,0.12530,5.27705,-7.62241,0.02350,2.34375,-4.92188,-0.04909,24.54329,3.23995,0.12530,5.45142,1.00000,0.88346
1.12540,6.47719,-0.18275,0.12626,4.57345,-13.21218,-0.05875,2.57813,-3.04688,0.00000,23.99145,3.23262,0.12626,3.99126,1.00000,0.88958
1.16232,6.69262,-0.81558,0.12106,3.36168,-15.94843,-0.21443,3.51563,-1.87500,0.04909,23.34798,3.32295,0.12106,3.98438,1.00000,1.04533
1.19782,6.93167,-1.44025,0.11568,4.72980,-18.13743,-0.15421,3.04688,-0.70313,0.04909,22.69901,3.38849,0.11568,3.12695,1.00000,1.01412
1.23256,7.28114,-1.99187,0.11642,7.66150,-17.00384,0.11162,1.87500,0.00000,0.07363,22.04682,3.32262,0.11642,1.87500,1.00000,1.06196
1.27208,7.83989,-2.50858,0.12513,12.58675,-14.85393,0.27905,0.00000,0.46875,0.00000,21.30301,3.05393,0.12513,0.46875,1.00000,0.88404
1.31187,8.50687,-2.86191,0.13753,17.12111,-11.88314,0.35249,-1.87500,0.46875,0.00000,20.63507,2.61538,0.13753,1.93271,1.00000,1.56100
1.35195,9.28674,-3.06896,0.14567,17.90289,-7.50514,0.23793,-3.51563,-1.17188,0.04909,20.03582,2.01044,0.14567,3.70579,1.00000,1.04096
1.39218,9.89219,-3.23679,0.15783,13.40763,-5.98066,0.42445,-2.57813,-1.87500,-0.04909,19.57481,1.54397,0.15783,3.18784,1.00000,0.96513
1.42633,10.13053,-3.34124,0.17458,6.05884,-4.29982,0.42886,0.00000,-3.75000,-0.07363,19.36287,1.37750,0.17458,3.75000,1.00000,1.00042
1.46262,10.21102,-3.51763,0.18591,1.56357,-5.00343,0.25702,1.87500,-4.92188,-0.12272,19.17010,1.38439,0.18591,5.26692,1.00000,0.88288
1.49533,10.17274,-3.78125,0.19138,-1.79811,-7.66150,0.12337,3.75000,-5.15625,-0.07363,18.96373,1.53653,0.19138,6.37569,1.00000,1.03542
1.53184,10.13333,-4.12329,0.19483,-2.89261,-9.45961,0.01469,4.92188,-4.92188,-0.07363,18.69281,1.72473,0.19483,6.96058,1.00000,0.93625
1.56966,10.15163,-4.64544,0.18779,-1.95446,-13.40763,-0.28933,4.45313,-3.04688,-0.04909,18.24152,1.94188,0.18779,5.39572,1.00000,1.27225
1.61380,10.27632,-5.16686,0.17927,1.09450,-13.60307,-0.15715,3.04688,-1.87500,0.00000,17.73618,2.06354,0.17927,3.57758,1.00000,0.79129
1.65464,10.66173,-5.70487,0.17535,6.09793,-13.01673,-0.03525,0.70313,0.00000,0.00000,17.07495,1.95942,0.17535,0.70313,1.00000,0.88754
1.69144,11.12436,-6.01757,0.17866,10.28048,-10.35866,0.08078,-1.17188,0.00000,0.00000,16.56156,1.68548,0.17866,1.17188,1.00000,0.90125
1.72729,11.61169,-6.22224,0.17703,13.09491,-8.32602,-0.05728,-2.57813,-0.70313,0.04909,16.13042,1.34113,0.17703,2.67229,1.00000,0.87558
1.76405,12.07197,-6.39808,0.17839,11.80497,-7.23152,0.11603,-2.57813,-0.70313,0.00000,15.74376,1.00808,0.17839,2.67229,1.00000,0.89017
1.79672,12.31886,-6.58774,0.18711,5.74613,-6.41064,0.33193,-0.70313,-1.40625,-0.07363,15.45603,0.87207,0.18711,1.57224,1.00000,0.84117
1.83672,12.38489,-6.78804,0.19787,0.07818,-5.82430,0.11603,2.34375,-3.51563,-0.07363,15.24945,0.90260,0.19787,4.22526,1.00000,0.91117
1.87198,12.29422,-7.05500,0.19297,-3.43986,-6.64518,-0.24087,3.75000,-4.92188,-0.04909,15.06493,1.10308,0.19297,6.18768,1.00000,0.79333
1.90923,12.22234,-7.37160,0.18379,-3.71348,-8.56055,-0.24821,4.21875,-4.21875,-0.04909,14.83133,1.30896,0.18379,5.96621,1.00000,1.02258
1.94320,12.21969,-7.74379,0.17330,-2.11082,-10.08504,-0.31724,3.75000,-3.04688,-0.04909,14.51716,1.47778,0.17330,4.83176,1.00000,1.03717
1.97715,12.30812,-8.11324,0.16502,1.01632,-11.17954,-0.19974,2.57813,-1.17188,0.00000,14.15839,1.56390,0.16502,2.83196,1.00000,1.01675
2.01456,12.54801,-8.48348,0.16051,4.37800,-10.55411,-0.05434,0.70313,0.00000,0.00000,13.71723,1.51492,0.16051,0.70313,1.00000,1.01908
2.05937,12.96120,-8.78237,0.16477,9.73323,-8.67782,0.06609,-1.87500,0.70313,0.00000,13.24311,1.27901,0.16477,2.00250,1.00000,1.15179
2.10662,13.56614,-9.01544,0.16659,11.68770,-6.05884,0.12190,-3.04688,0.00000,0.00000,12.73009,0.84218,0.16659,3.04688,1.00000,1.21217
2.15198,13.99458,-9.14771,0.17380,7.58332,-4.37800,0.27905,-1.87500,-0.46875,-0.04909,12.40312,0.51812,0.17380,1.93271,1.00000,0.88579
2.19774,14.10528,-9.33445,0.19088,0.31271,-3.90893,0.30990,0.70313,-2.57813,-0.07363,12.18613,0.50262,0.19088,2.67229,1.00000,0.89542
2.23428,13.96637,-9.49238,0.19342,-3.94802,-3.63530,-0.11456,3.04688,-4.45313,-0.07363,12.11671,0.69749,0.19342,5.39572,1.00000,0.89192
2.27456,13.76920,-9.70618,0.18943,-6.84063,-5.15979,-0.13071,4.45313,-4.92188,-0.07363,12.03269,0.96946,0.18943,6.63741,1.00000,2.73671
