model_file,timestamp,duration_s,steps,goal1,goal2,goal_switch_dist,goal_switch_time_s,M2_handoff_fail_k,M2_handoff_fail_N,M2_handoff_fail_pct,M3_peak_control_jump,M4_completion_k,M4_completion_N,M4_completion_pct,M5_inf_p50_ms,M5_inf_p95_ms,M5_deadline_ms,M5_deadline_misses,M5_deadline_miss_pct,avg_pos_error_in,max_pos_error_in,avg_crosstrack_in,max_crosstrack_in,avg_theta_error_rad,avg_inference_ms,RMSE Cross Track,CT STD DEV
Test4_crossATTN_NOGRU.tflite,20260811_210121,10.686,314,"[20, 10, 1]","[20, -40, -1]",3.00,1.490,0,1,0.0,19.30433,1,1,100.0,0.861,1.436,10.0,0,0.00,12.4397,52.5535,6.9249,20.0000,0.4670,0.954,7.758,3.502
Test4_crossATTN_NOGRU.tflite,20260812_160602,2.439,69,"[20, 10, 1]","[20, -40, -1]",5.00,0.822,0,1,0.0,19.07411,1,1,100.0,0.921,1.661,10.0,0,0.00,27.4482,52.1062,6.3343,20.0000,0.8881,1.023,8.945,6.361
Test4_crossATTN_NOGRU.tflite,20260812_165344,2.383,66,"[20, 10, 1]","[20, -40, -1]",5.00,0.776,0,1,0.0,20.22926,1,1,100.0,0.903,1.247,10.0,0,0.00,27.8557,52.2013,6.2764,20.0000,1.0129,0.952,8.702,6.074
Test4_crossATTN_NOGRU.tflite,20260811_211706,2.549,84,"[-10, -50, 0]","[10, 15, 0]",15.00,1.148,0,1,0.0,28.00067,1,1,100.0,0.841,1.293,10.0,0,0.00,42.5489,60.0712,2.2892,5.1465,0.0946,0.894,2.683,1.407
Test4_crossATTN_NOGRU.tflite,20260812_161856,2.522,81,"[-10, -50, 0]","[10, 15, 0]",15.00,1.177,0,1,0.0,24.67968,1,1,100.0,0.868,1.085,10.0,0,0.00,41.9597,59.1036,2.8664,5.1465,0.0914,0.916,3.116,1.231
Test4_crossATTN_NOGRU.tflite,20260812_165012,1.981,54,"[0, -20, 0]","[10, -50, 0]",5.00,0.955,0,1,0.0,11.04931,1,1,100.0,0.863,1.138,10.0,0,0.00,18.2463,35.9650,2.1971,6.3246,0.0462,0.870,3.100,2.207
Test4_crossATTN_NOGRU.tflite,20260811_213735,4.182,124,"[0, -20, 0]","[10, -50, 0]",3.00,1.063,0,1,0.0,11.41282,1,1,100.0,0.855,1.160,10.0,0,0.00,10.7865,34.1990,3.3491,6.3246,0.0349,0.915,3.754,1.702
Test4_crossATTN_NOGRU.tflite,20260812_162222,2.227,66,"[0, -20, 0]","[10, -50, 0]",5.00,1.106,0,1,0.0,12.19958,1,1,100.0,0.838,1.383,10.0,0,0.00,18.5157,36.1551,2.9657,6.3246,0.1317,0.876,3.383,1.640
Test4_crossATTN_NOGRU.tflite,20260812_165711,1.905,55,"[0, -20, 0]","[10, -50, 0]",5.00,0.906,0,1,0.0,11.12437,1,1,100.0,0.846,1.112,10.0,0,0.00,18.2552,36.2264,1.9895,6.3246,0.0553,0.892,2.941,2.186
Test4_crossATTN_NOGRU.tflite,19691231_191419,4.089,120,"[30, 0, 0]","[55, -15, 0]",3.00,0.850,0,1,0.0,10.52054,1,1,100.0,0.931,1.216,10.0,0,0.00,9.7961,31.7871,3.6671,15.4349,0.0518,0.937,5.552,4.186
Test4_crossATTN_NOGRU.tflite,20260812_155029,2.625,69,"[30, 0, 0]","[55, -15, 0]",3.00,0.831,0,1,0.0,10.19140,1,1,100.0,0.872,1.130,10.0,0,0.00,13.7461,31.5903,6.8002,15.4349,0.0830,0.898,7.720,3.682
Test4_crossATTN_NOGRU.tflite,20260812_170242,3.864,112,"[30, 0, 0]","[55, -15, 0]",3.00,0.853,0,1,0.0,11.08509,1,1,100.0,0.847,1.206,10.0,0,0.00,11.7996,31.3782,6.8198,15.4349,0.0540,0.882,7.538,3.226
Test0_Baseline.tflite,20260811_210823,2.477,77,"[20.0, 10.0, 1.0]","[20.0, -40.0, -1.0]",3.00,0.922,0,1,0.0,22.25555,1,1,100.0,0.394,0.608,10.0,0,0.00,24.8374,50.2834,6.6375,20.0000,0.8881,0.427,8.811,5.833
Test1_HardSwitch.tflite,20260812_160657,3.065,87,"[20.0, 10.0, 1.0]","[20.0, -40.0, -1.0]",3.00,-1.000,1,1,100.0,0.00000,0,1,0.0,0.521,0.809,10.0,0,0.00,7.5835,22.3607,4.1002,20.0000,0.2153,0.573,7.468,6.278
