metric,value
model,Attention
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.6020
p95_ms,0.7338
p99_ms,1.2559
min_ms,0.5600
max_ms,2.1688
mean_ms,0.6273
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.5600
1,0.5615
2,0.5626
3,0.5644
4,0.5676
5,0.5685
6,0.5690
7,0.5693
8,0.5702
9,0.5702
10,0.5702
11,0.5705
12,0.5708
13,0.5714
14,0.5714
15,0.5720
16,0.5720
17,0.5723
18,0.5725
19,0.5725
20,0.5725
21,0.5728
22,0.5728
23,0.5728
24,0.5728
25,0.5728
26,0.5728
27,0.5728
28,0.5728
29,0.5731
30,0.5731
31,0.5731
32,0.5731
33,0.5731
34,0.5734
35,0.5734
36,0.5734
37,0.5734
38,0.5734
39,0.5734
40,0.5737
41,0.5737
42,0.5737
43,0.5737
44,0.5737
45,0.5740
46,0.5740
47,0.5740
48,0.5740
49,0.5740
50,0.5740
51,0.5743
52,0.5743
53,0.5743
54,0.5743
55,0.5743
56,0.5743
57,0.5743
58,0.5746
59,0.5746
60,0.5746
61,0.5746
62,0.5746
63,0.5746
64,0.5746
65,0.5746
66,0.5749
67,0.5749
68,0.5749
69,0.5749
70,0.5749
71,0.5749
72,0.5749
73,0.5749
74,0.5749
75,0.5752
76,0.5752
77,0.5752
78,0.5752
79,0.5752
80,0.5752
81,0.5752
82,0.5752
83,0.5755
84,0.5755
85,0.5755
86,0.5755
87,0.5755
88,0.5755
89,0.5755
90,0.5755
91,0.5757
92,0.5757
93,0.5757
94,0.5757
95,0.5757
96,0.5757
97,0.5757
98,0.5760
99,0.5760
100,0.5760
101,0.5760
102,0.5760
103,0.5760
104,0.5763
105,0.5763
106,0.5763
107,0.5763
108,0.5763
109,0.5763
110,0.5766
111,0.5766
112,0.5766
113,0.5766
114,0.5766
115,0.5766
116,0.5766
117,0.5766
118,0.5766
119,0.5766
120,0.5766
121,0.5766
122,0.5766
123,0.5766
124,0.5766
125,0.5766
126,0.5766
127,0.5766
128,0.5766
129,0.5769
130,0.5769
131,0.5772
132,0.5772
133,0.5772
134,0.5772
135,0.5772
136,0.5772
137,0.5772
138,0.5775
139,0.5775
140,0.5775
141,0.5775
142,0.5775
143,0.5775
144,0.5775
145,0.5778
146,0.5778
147,0.5778
148,0.5778
149,0.5778
150,0.5778
151,0.5778
152,0.5778
153,0.5778
154,0.5781
155,0.5781
156,0.5781
157,0.5781
158,0.5781
159,0.5781
160,0.5781
161,0.5781
162,0.5784
163,0.5784
164,0.5784
165,0.5784
166,0.5784
167,0.5787
168,0.5787
169,0.5787
170,0.5787
171,0.5787
172,0.5787
173,0.5787
174,0.5787
175,0.5787
176,0.5787
177,0.5790
178,0.5790
179,0.5790
180,0.5790
181,0.5790
182,0.5790
183,0.5790
184,0.5790
185,0.5790
186,0.5790
187,0.5790
188,0.5790
189,0.5790
190,0.5790
191,0.5792
192,0.5792
193,0.5792
194,0.5792
195,0.5792
196,0.5792
197,0.5792
198,0.5792
199,0.5792
200,0.5792
201,0.5795
202,0.5795
203,0.5795
204,0.5795
205,0.5795
206,0.5795
207,0.5795
208,0.5795
209,0.5795
210,0.5795
211,0.5798
212,0.5798
213,0.5798
214,0.5798
215,0.5798
216,0.5798
217,0.5801
218,0.5801
219,0.5801
220,0.5801
221,0.5801
222,0.5804
223,0.5804
224,0.5804
225,0.5807
226,0.5807
227,0.5807
228,0.5807
229,0.5807
230,0.5810
231,0.5810
232,0.5810
233,0.5810
234,0.5810
235,0.5810
236,0.5810
237,0.5813
238,0.5813
239,0.5813
240,0.5813
241,0.5813
242,0.5813
243,0.5813
244,0.5813
245,0.5816
246,0.5816
247,0.5816
248,0.5816
249,0.5816
250,0.5819
251,0.5819
252,0.5819
253,0.5819
254,0.5819
255,0.5819
256,0.5819
257,0.5819
258,0.5819
259,0.5819
260,0.5819
261,0.5822
262,0.5822
263,0.5822
264,0.5822
265,0.5822
266,0.5822
267,0.5822
268,0.5825
269,0.5825
270,0.5825
271,0.5825
272,0.5828
273,0.5828
274,0.5828
275,0.5828
276,0.5828
277,0.5830
278,0.5830
279,0.5830
280,0.5830
281,0.5833
282,0.5833
283,0.5833
284,0.5833
285,0.5833
286,0.5833
287,0.5833
288,0.5836
289,0.5836
290,0.5836
291,0.5836
292,0.5836
293,0.5839
294,0.5839
295,0.5839
296,0.5839
297,0.5839
298,0.5839
299,0.5839
300,0.5839
301,0.5842
302,0.5842
303,0.5845
304,0.5848
305,0.5848
306,0.5848
307,0.5848
308,0.5848
309,0.5848
310,0.5851
311,0.5851
312,0.5851
313,0.5851
314,0.5854
315,0.5854
316,0.5854
317,0.5854
318,0.5854
319,0.5854
320,0.5854
321,0.5854
322,0.5854
323,0.5854
324,0.5857
325,0.5857
326,0.5857
327,0.5857
328,0.5857
329,0.5857
330,0.5860
331,0.5860
332,0.5860
333,0.5863
334,0.5863
335,0.5863
336,0.5863
337,0.5865
338,0.5865
339,0.5865
340,0.5865
341,0.5865
342,0.5868
343,0.5868
344,0.5868
345,0.5871
346,0.5874
347,0.5874
348,0.5874
349,0.5874
350,0.5874
351,0.5874
352,0.5874
353,0.5874
354,0.5874
355,0.5874
356,0.5874
357,0.5874
358,0.5877
359,0.5877
360,0.5877
361,0.5877
362,0.5877
363,0.5877
364,0.5877
365,0.5880
366,0.5880
367,0.5880
368,0.5883
369,0.5883
370,0.5883
371,0.5883
372,0.5883
373,0.5883
374,0.5886
375,0.5886
376,0.5889
377,0.5889
378,0.5889
379,0.5889
380,0.5889
381,0.5889
382,0.5895
383,0.5895
384,0.5895
385,0.5895
386,0.5895
387,0.5895
388,0.5897
389,0.5897
390,0.5897
391,0.5897
392,0.5897
393,0.5900
394,0.5900
395,0.5900
396,0.5903
397,0.5903
398,0.5903
399,0.5903
400,0.5906
401,0.5909
402,0.5909
403,0.5909
404,0.5909
405,0.5909
406,0.5912
407,0.5912
408,0.5915
409,0.5915
410,0.5915
411,0.5915
412,0.5918
413,0.5921
414,0.5921
415,0.5924
416,0.5924
417,0.5927
418,0.5927
419,0.5927
420,0.5930
421,0.5930
422,0.5930
423,0.5932
424,0.5935
425,0.5935
426,0.5935
427,0.5938
428,0.5938
429,0.5938
430,0.5938
431,0.5944
432,0.5944
433,0.5944
434,0.5944
435,0.5947
436,0.5950
437,0.5950
438,0.5950
439,0.5953
440,0.5953
441,0.5956
442,0.5956
443,0.5959
444,0.5959
445,0.5959
446,0.5959
447,0.5962
448,0.5962
449,0.5965
450,0.5965
451,0.5965
452,0.5965
453,0.5968
454,0.5968
455,0.5968
456,0.5968
457,0.5970
458,0.5970
459,0.5973
460,0.5973
461,0.5973
462,0.5973
463,0.5976
464,0.5979
465,0.5982
466,0.5982
467,0.5982
468,0.5985
469,0.5985
470,0.5985
471,0.5991
472,0.5991
473,0.5994
474,0.5994
475,0.5997
476,0.5997
477,0.5997
478,0.5997
479,0.5997
480,0.6000
481,0.6000
482,0.6000
483,0.6003
484,0.6003
485,0.6005
486,0.6005
487,0.6005
488,0.6008
489,0.6011
490,0.6011
491,0.6014
492,0.6014
493,0.6014
494,0.6017
495,0.6017
496,0.6017
497,0.6017
498,0.6017
499,0.6020
500,0.6020
501,0.6023
502,0.6023
503,0.6026
504,0.6026
505,0.6026
506,0.6026
507,0.6029
508,0.6032
509,0.6032
510,0.6035
511,0.6040
512,0.6040
513,0.6040
514,0.6043
515,0.6046
516,0.6049
517,0.6049
518,0.6049
519,0.6049
520,0.6049
521,0.6049
522,0.6049
523,0.6052
524,0.6052
525,0.6055
526,0.6058
527,0.6058
528,0.6058
529,0.6061
530,0.6061
531,0.6061
532,0.6064
533,0.6064
534,0.6070
535,0.6070
536,0.6070
537,0.6070
538,0.6072
539,0.6073
540,0.6075
541,0.6075
542,0.6084
543,0.6084
544,0.6087
545,0.6087
546,0.6087
547,0.6087
548,0.6087
549,0.6087
550,0.6090
551,0.6090
552,0.6090
553,0.6093
554,0.6093
555,0.6093
556,0.6093
557,0.6093
558,0.6096
559,0.6096
560,0.6099
561,0.6099
562,0.6099
563,0.6099
564,0.6102
565,0.6105
566,0.6105
567,0.6105
568,0.6108
569,0.6108
570,0.6116
571,0.6116
572,0.6116
573,0.6119
574,0.6119
575,0.6119
576,0.6122
577,0.6125
578,0.6125
579,0.6125
580,0.6128
581,0.6131
582,0.6134
583,0.6134
584,0.6137
585,0.6137
586,0.6137
587,0.6140
588,0.6140
589,0.6143
590,0.6145
591,0.6145
592,0.6148
593,0.6148
594,0.6151
595,0.6154
596,0.6157
597,0.6157
598,0.6160
599,0.6163
600,0.6163
601,0.6166
602,0.6166
603,0.6166
604,0.6166
605,0.6169
606,0.6169
607,0.6169
608,0.6172
609,0.6172
610,0.6175
611,0.6175
612,0.6177
613,0.6177
614,0.6180
615,0.6180
616,0.6180
617,0.6183
618,0.6183
619,0.6183
620,0.6183
621,0.6186
622,0.6195
623,0.6195
624,0.6195
625,0.6198
626,0.6198
627,0.6198
628,0.6201
629,0.6201
630,0.6201
631,0.6201
632,0.6207
633,0.6210
634,0.6210
635,0.6210
636,0.6212
637,0.6212
638,0.6212
639,0.6215
640,0.6215
641,0.6215
642,0.6218
643,0.6218
644,0.6218
645,0.6218
646,0.6221
647,0.6224
648,0.6227
649,0.6227
650,0.6227
651,0.6230
652,0.6233
653,0.6239
654,0.6239
655,0.6242
656,0.6245
657,0.6245
658,0.6248
659,0.6248
660,0.6248
661,0.6248
662,0.6250
663,0.6250
664,0.6250
665,0.6253
666,0.6253
667,0.6256
668,0.6259
669,0.6259
670,0.6262
671,0.6265
672,0.6268
673,0.6268
674,0.6268
675,0.6274
676,0.6274
677,0.6274
678,0.6277
679,0.6277
680,0.6277
681,0.6277
682,0.6277
683,0.6277
684,0.6277
685,0.6280
686,0.6280
687,0.6280
688,0.6283
689,0.6283
690,0.6283
691,0.6283
692,0.6285
693,0.6285
694,0.6285
695,0.6285
696,0.6285
697,0.6285
698,0.6288
699,0.6288
700,0.6288
701,0.6288
702,0.6291
703,0.6291
704,0.6291
705,0.6291
706,0.6291
707,0.6294
708,0.6297
709,0.6297
710,0.6300
711,0.6300
712,0.6300
713,0.6300
714,0.6300
715,0.6300
716,0.6306
717,0.6306
718,0.6309
719,0.6309
720,0.6309
721,0.6309
722,0.6312
723,0.6312
724,0.6312
725,0.6315
726,0.6317
727,0.6318
728,0.6320
729,0.6320
730,0.6320
731,0.6323
732,0.6329
733,0.6329
734,0.6329
735,0.6329
736,0.6332
737,0.6332
738,0.6332
739,0.6335
740,0.6335
741,0.6338
742,0.6338
743,0.6341
744,0.6341
745,0.6344
746,0.6344
747,0.6347
748,0.6350
749,0.6350
750,0.6352
751,0.6355
752,0.6355
753,0.6355
754,0.6358
755,0.6361
756,0.6364
757,0.6364
758,0.6370
759,0.6370
760,0.6370
761,0.6373
762,0.6373
763,0.6376
764,0.6379
765,0.6382
766,0.6382
767,0.6382
768,0.6382
769,0.6385
770,0.6388
771,0.6390
772,0.6399
773,0.6399
774,0.6399
775,0.6405
776,0.6405
777,0.6408
778,0.6414
779,0.6417
780,0.6417
781,0.6423
782,0.6425
783,0.6425
784,0.6428
785,0.6428
786,0.6431
787,0.6434
788,0.6434
789,0.6437
790,0.6437
791,0.6440
792,0.6440
793,0.6443
794,0.6443
795,0.6443
