time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02786,0.00000,0.00000,0.00011,0.00000,-0.00000,-0.00147,5.97728,3.20443,0.42956,22.36068,20.00000,0.99989,6.78205,0.00000,1.09958
0.08851,0.00586,-0.00000,0.00420,0.15636,0.03909,0.25849,7.76884,4.13210,0.55747,22.35544,19.99414,0.99580,8.79938,0.00000,1.10279
0.12883,0.15995,0.04985,0.02299,4.10438,1.36813,0.54195,8.26218,4.22934,0.59183,22.19534,19.84005,0.97701,9.28175,0.00000,1.45512
0.16896,0.45797,0.16711,0.05203,7.58332,2.65807,0.82100,8.30639,3.96454,0.59508,21.87639,19.54203,0.94797,9.20401,0.00000,2.04662
0.20741,0.84992,0.33729,0.09007,10.51502,4.06529,1.09712,8.18104,3.55199,0.58409,21.44980,19.15008,0.90993,8.91886,0.00000,1.07450
0.24523,1.39210,0.56437,0.13860,14.07214,4.65163,1.37030,8.00663,2.97860,0.56189,20.86349,18.60790,0.86140,8.54273,0.00000,1.11213
0.28399,2.03202,0.86537,0.19686,17.70745,5.43341,1.61410,7.86931,2.32998,0.53303,20.15663,17.96798,0.80314,8.20700,0.00000,1.24717
0.32236,2.80098,1.24141,0.26343,21.22548,5.55068,1.80650,7.74350,1.70314,0.49817,19.30075,17.19902,0.73657,7.92859,0.00000,0.86450
0.35696,3.59698,1.64354,0.32700,23.92265,5.08161,1.86672,7.62630,1.07143,0.46391,18.40895,16.40302,0.67300,7.70120,0.00000,0.79567
0.39257,4.42556,2.10779,0.39680,27.47977,5.00343,1.99303,7.51253,0.40770,0.42354,17.45996,15.57444,0.60320,7.52358,0.00000,0.99371
0.43103,5.48040,2.73333,0.47486,30.21602,4.10438,2.06793,7.27795,-0.24452,0.37422,16.23648,14.51960,0.52514,7.28206,0.00000,0.85050
0.46896,6.43723,3.31632,0.55329,32.36593,2.11082,2.02974,6.85578,-0.80639,0.31540,15.12020,13.56277,0.44671,6.90304,0.00000,0.81200
0.50812,7.64317,4.05587,0.63501,34.35949,-0.39089,1.99890,6.21515,-1.22863,0.25172,13.71218,12.35683,0.36499,6.33543,0.00000,0.85312
0.54848,8.88252,4.87076,0.70847,35.80579,-2.26718,1.88140,5.37610,-1.51591,0.19084,12.24367,11.11748,0.29153,5.58574,0.00000,0.84554
0.59677,10.46787,5.92029,0.79549,37.33027,-5.55068,1.73307,4.50760,-1.75097,0.13403,10.36849,9.53213,0.20451,4.83574,0.00000,1.03688
0.63298,11.52940,6.62342,0.85276,36.54848,-7.46605,1.55388,3.84992,-1.91424,0.09978,9.11879,8.47060,0.14724,4.29955,0.00000,1.98888
0.66846,12.69869,7.44740,0.90463,36.47031,-8.99054,1.41289,3.24170,-2.02391,0.07688,7.73465,7.30131,0.09537,3.82163,0.00000,0.83533
0.70755,13.73353,8.17460,0.95455,35.41489,-10.31957,1.25574,2.65715,-1.95778,0.05563,6.52692,6.26647,0.04545,3.30051,0.00000,0.81988
0.73932,14.77239,8.99849,0.99368,34.28131,-10.63229,1.18965,2.04378,-1.75139,0.04137,5.32269,5.22761,0.00632,2.69154,0.00000,0.94675
0.77559,15.66837,9.72655,1.03567,33.26498,-10.59320,1.11327,-10.42338,-8.58113,-0.62699,49.91486,4.33163,2.03567,13.50121,1.00000,0.84758
0.81087,16.58902,10.50717,1.07304,31.62324,-10.90591,1.08390,-14.75254,-9.94461,-0.82215,50.62222,3.41098,2.07304,17.79136,1.00000,0.90038
0.84692,17.42123,11.14891,1.10390,28.53518,-12.11768,0.76519,-16.47889,-9.83144,-0.87859,51.21388,2.57877,2.10390,19.18882,1.00000,0.71954
0.87706,18.14231,11.66445,1.12245,24.86079,-12.54766,0.49348,-17.27354,-9.47697,-0.89672,51.69784,1.85769,2.12245,19.70249,1.00000,0.76475
0.91459,18.86977,12.03372,1.12796,18.95831,-13.75943,-0.00587,-17.66434,-9.20982,-0.90241,52.04599,1.13023,2.12796,19.92109,1.00000,0.82367
0.94823,19.43791,12.16852,1.12519,12.78220,-14.07214,-0.10281,-17.84502,-9.07697,-0.90414,52.17155,0.56209,2.12519,20.02089,1.00000,0.90271
0.97973,19.95399,12.20129,1.11760,7.34879,-13.13400,-0.33046,-17.92171,-9.04188,-0.90496,52.20131,0.04601,2.11760,20.07345,1.00000,0.88463
