time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02215,0.00000,0.00000,0.00066,-0.00000,0.00000,0.00000,6.88872,0.42925,-0.03683,20.00000,0.00000,0.00066,6.90209,0.00000,1.24658,0.00000
0.07520,0.00586,-0.00000,-0.00185,0.42998,-0.00000,-0.04112,8.95026,0.56838,-0.04717,19.99414,0.00000,0.00185,8.96829,0.00000,1.15267,0.00000
0.11807,0.15439,-0.00424,-0.00249,3.75257,-0.07818,-0.01175,9.52186,0.61181,-0.05018,19.84561,0.00424,0.00249,9.54149,0.00000,1.15587,0.00000
0.15359,0.45928,-0.00707,-0.00122,7.70059,-0.03909,0.05287,9.59966,0.61561,-0.05163,19.54072,0.00707,0.00122,9.61937,0.00000,1.30258,0.00000
0.19127,0.84044,0.01183,0.00110,10.12413,0.50816,0.07490,9.50471,0.59506,-0.05301,19.15957,0.01183,0.00110,9.52332,0.00000,1.27225,0.00000
0.22915,1.37985,0.03370,0.00438,13.91579,0.66452,0.08225,9.30994,0.56032,-0.05452,18.62018,0.03370,0.00438,9.32679,0.00000,1.29908,0.00000
0.26535,2.05592,0.07934,0.00841,18.02016,1.09450,0.13659,9.04491,0.51520,-0.05542,17.94425,0.07934,0.00841,9.05957,0.00000,1.31804,0.00000
0.30309,2.80419,0.11865,0.01383,21.26457,1.05541,0.13365,8.72961,0.45646,-0.05649,17.19622,0.11865,0.01383,8.74154,0.00000,1.28275,0.00000
0.34225,3.76902,0.17631,0.01869,24.54807,1.13359,0.10281,8.31792,0.38902,-0.05780,16.23194,0.17631,0.01869,8.32702,0.00000,1.05262,0.00000
0.37795,4.75510,0.23690,0.02177,26.85434,1.09450,0.06756,7.87346,0.33291,-0.05820,15.24674,0.23690,0.02177,7.88050,0.00000,0.86946,0.00000
0.41222,5.80953,0.29429,0.02342,29.59059,1.01632,0.03525,7.42660,0.29208,-0.05708,14.19352,0.29429,0.02342,7.43235,0.00000,0.74317,0.00000
0.44102,6.75844,0.34730,0.02492,31.19325,1.05541,0.03672,6.99974,0.26375,-0.05570,13.24612,0.34730,0.02492,7.00470,0.00000,0.68425,0.00000
0.47070,7.69784,0.38757,0.02571,31.74050,0.62543,0.02644,6.58990,0.26152,-0.05309,12.30827,0.38757,0.02571,6.59509,0.00000,0.68425,0.00000
0.50162,8.70955,0.42834,0.02578,33.49952,0.46907,0.01175,6.14917,0.27280,-0.04979,11.29857,0.42834,0.02578,6.15521,0.00000,0.91992,0.00000
0.53478,9.85798,0.47463,0.02552,34.55493,0.46907,-0.01469,5.63671,0.28978,-0.04607,10.15312,0.47463,0.02552,5.64415,0.00000,0.91088,0.00000
0.57757,11.28163,0.53897,0.02406,34.98491,0.70361,-0.04553,4.99840,0.32138,-0.04202,8.73501,0.53897,0.02406,5.00872,0.00000,1.32213,0.00000
0.61550,12.65506,0.57879,0.02148,35.64943,0.23454,-0.09106,4.34606,0.33731,-0.03565,7.36771,0.57879,0.02148,4.35913,0.00000,0.85225,0.00000
0.64654,13.82142,0.61306,0.01876,35.37580,0.19545,-0.10722,3.73848,0.31084,-0.02705,6.20892,0.61306,0.01876,3.75138,0.00000,0.77525,0.00000
0.67879,14.91165,0.64270,0.01585,35.02400,0.35180,-0.11015,3.16154,0.27285,-0.01885,5.12878,0.64270,0.01585,3.17329,0.00000,0.91146,0.00000
0.70928,15.99612,0.66730,0.01330,34.51584,0.23454,-0.09400,7.73606,-0.11223,-0.02835,24.01315,0.66730,0.01330,7.73687,1.00000,0.76358,0.00000
0.74146,17.06703,0.68512,0.01124,33.65588,0.15636,-0.10575,8.89371,-0.17795,-0.02859,22.94320,0.68512,0.01124,8.89549,1.00000,0.91787,5.74988
0.77296,18.18686,0.69869,0.00885,33.46043,0.07818,-0.06022,9.00507,-0.15951,-0.02530,21.82433,0.69869,0.00885,9.00648,1.00000,0.98642,5.85951
0.80894,19.39272,0.70865,0.00831,35.29763,-0.00000,0.00000,8.74483,-0.11868,-0.02094,20.61946,0.70865,0.00831,8.74564,1.00000,0.91496,5.59700
0.84121,20.64366,0.70287,0.00913,37.05664,-0.35180,0.02350,8.33440,-0.08603,-0.01675,19.36909,0.70287,0.00913,8.33485,1.00000,0.91263,5.18530
0.87537,21.93752,0.70857,0.01134,38.03388,-0.27363,0.05728,7.84838,-0.05808,-0.01342,18.07638,0.70857,0.01134,7.84859,1.00000,0.95258,4.69851
0.91051,23.26263,0.71710,0.01410,39.79290,-0.23454,0.09400,7.30291,-0.03394,-0.01056,16.75272,0.71710,0.01410,7.30299,1.00000,0.95375,0.00000
0.94685,24.90637,0.72595,0.01756,41.08284,-0.39089,0.10134,6.63237,-0.00927,-0.00759,15.11108,0.72595,0.01756,6.63238,1.00000,0.75192,0.00000
0.97718,26.21408,0.72665,0.02043,41.31738,-0.50816,0.10575,6.03331,0.00729,-0.00507,13.80506,0.72665,0.02043,6.03331,1.00000,0.69446,0.00000
1.00717,27.45898,0.74344,0.02307,41.98190,-0.46907,0.08665,5.46750,0.00976,-0.00265,12.56303,0.74344,0.02307,5.46751,1.00000,0.81287,0.00000
1.03830,28.78999,0.75763,0.02609,42.29461,-0.35180,0.10868,4.87515,-0.00073,0.00054,11.23558,0.75763,0.02609,4.87515,1.00000,0.76504,0.00000
1.07883,30.49762,0.80179,0.03000,42.06007,-0.23454,0.08225,4.10321,-0.01455,0.00130,9.53615,0.80179,0.03000,4.10324,1.00000,1.29208,0.00000
1.11299,31.90434,0.83940,0.03347,42.25552,-0.07818,0.10722,3.43556,-0.09720,-0.00310,8.13906,0.83940,0.03347,3.43693,1.00000,0.85429,0.00000
1.14648,33.31293,0.87995,0.03714,42.21643,-0.23454,0.11896,2.82448,-0.19836,-0.00955,6.74471,0.87995,0.03714,2.83144,1.00000,0.85925,0.00000
1.17807,34.59436,0.92266,0.04035,40.61377,-0.07818,0.12190,2.27698,-0.27567,-0.01550,5.48382,0.92266,0.04035,2.29361,1.00000,0.76621,0.00000
1.21076,35.86993,0.96524,0.04355,40.18379,-0.19545,0.10575,1.74977,-0.35045,-0.02118,4.24136,0.96524,0.04355,1.78452,1.00000,0.98408,0.00000
