metric,value
model,Attention
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.6277
p95_ms,0.7586
p99_ms,1.2527
min_ms,0.5757
max_ms,2.6408
mean_ms,0.6553
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.5757
1,0.5795
2,0.5819
3,0.5839
4,0.5845
5,0.5857
6,0.5857
7,0.5871
8,0.5871
9,0.5877
10,0.5880
11,0.5886
12,0.5889
13,0.5892
14,0.5895
15,0.5897
16,0.5897
17,0.5897
18,0.5898
19,0.5900
20,0.5900
21,0.5900
22,0.5903
23,0.5903
24,0.5906
25,0.5906
26,0.5906
27,0.5906
28,0.5909
29,0.5909
30,0.5909
31,0.5909
32,0.5912
33,0.5912
34,0.5915
35,0.5915
36,0.5915
37,0.5915
38,0.5915
39,0.5918
40,0.5918
41,0.5918
42,0.5918
43,0.5918
44,0.5918
45,0.5918
46,0.5921
47,0.5921
48,0.5921
49,0.5921
50,0.5921
51,0.5924
52,0.5924
53,0.5924
54,0.5924
55,0.5927
56,0.5927
57,0.5927
58,0.5927
59,0.5927
60,0.5927
61,0.5927
62,0.5930
63,0.5930
64,0.5930
65,0.5930
66,0.5930
67,0.5930
68,0.5932
69,0.5932
70,0.5932
71,0.5932
72,0.5933
73,0.5935
74,0.5935
75,0.5935
76,0.5935
77,0.5935
78,0.5935
79,0.5935
80,0.5938
81,0.5938
82,0.5938
83,0.5941
84,0.5941
85,0.5941
86,0.5941
87,0.5941
88,0.5944
89,0.5944
90,0.5944
91,0.5944
92,0.5947
93,0.5947
94,0.5947
95,0.5947
96,0.5947
97,0.5947
98,0.5947
99,0.5950
100,0.5950
101,0.5950
102,0.5950
103,0.5950
104,0.5950
105,0.5950
106,0.5953
107,0.5953
108,0.5953
109,0.5953
110,0.5953
111,0.5953
112,0.5953
113,0.5953
114,0.5953
115,0.5956
116,0.5956
117,0.5956
118,0.5956
119,0.5956
120,0.5956
121,0.5956
122,0.5956
123,0.5956
124,0.5956
125,0.5956
126,0.5959
127,0.5959
128,0.5959
129,0.5959
130,0.5959
131,0.5959
132,0.5959
133,0.5959
134,0.5959
135,0.5962
136,0.5962
137,0.5962
138,0.5962
139,0.5962
140,0.5962
141,0.5962
142,0.5962
143,0.5965
144,0.5965
145,0.5965
146,0.5965
147,0.5965
148,0.5965
149,0.5968
150,0.5968
151,0.5968
152,0.5968
153,0.5968
154,0.5968
155,0.5968
156,0.5968
157,0.5968
158,0.5970
159,0.5970
160,0.5970
161,0.5970
162,0.5970
163,0.5970
164,0.5970
165,0.5970
166,0.5970
167,0.5973
168,0.5973
169,0.5973
170,0.5973
171,0.5973
172,0.5976
173,0.5976
174,0.5976
175,0.5976
176,0.5976
177,0.5979
178,0.5979
179,0.5979
180,0.5979
181,0.5979
182,0.5979
183,0.5982
184,0.5982
185,0.5982
186,0.5982
187,0.5982
188,0.5982
189,0.5982
190,0.5985
191,0.5985
192,0.5985
193,0.5985
194,0.5988
195,0.5991
196,0.5991
197,0.5991
198,0.5991
199,0.5991
200,0.5991
201,0.5991
202,0.5994
203,0.5994
204,0.5994
205,0.5994
206,0.5994
207,0.5994
208,0.5994
209,0.5994
210,0.5997
211,0.5997
212,0.5997
213,0.5997
214,0.6000
215,0.6000
216,0.6000
217,0.6003
218,0.6003
219,0.6003
220,0.6003
221,0.6003
222,0.6003
223,0.6005
224,0.6005
225,0.6008
226,0.6008
227,0.6008
228,0.6008
229,0.6008
230,0.6011
231,0.6011
232,0.6011
233,0.6011
234,0.6011
235,0.6011
236,0.6014
237,0.6014
238,0.6014
239,0.6017
240,0.6017
241,0.6017
242,0.6017
243,0.6017
244,0.6020
245,0.6020
246,0.6020
247,0.6023
248,0.6023
249,0.6023
250,0.6026
251,0.6026
252,0.6026
253,0.6026
254,0.6026
255,0.6026
256,0.6026
257,0.6026
258,0.6029
259,0.6029
260,0.6029
261,0.6029
262,0.6029
263,0.6032
264,0.6032
265,0.6032
266,0.6032
267,0.6032
268,0.6032
269,0.6032
270,0.6035
271,0.6035
272,0.6035
273,0.6035
274,0.6037
275,0.6037
276,0.6038
277,0.6040
278,0.6040
279,0.6040
280,0.6040
281,0.6043
282,0.6043
283,0.6043
284,0.6043
285,0.6046
286,0.6046
287,0.6046
288,0.6049
289,0.6049
290,0.6049
291,0.6049
292,0.6049
293,0.6052
294,0.6052
295,0.6052
296,0.6052
297,0.6052
298,0.6052
299,0.6055
300,0.6055
301,0.6058
302,0.6058
303,0.6058
304,0.6058
305,0.6058
306,0.6061
307,0.6061
308,0.6064
309,0.6064
310,0.6064
311,0.6064
312,0.6064
313,0.6064
314,0.6067
315,0.6067
316,0.6067
317,0.6070
318,0.6070
319,0.6070
320,0.6070
321,0.6070
322,0.6070
323,0.6070
324,0.6070
325,0.6072
326,0.6075
327,0.6075
328,0.6078
329,0.6078
330,0.6078
331,0.6081
332,0.6081
333,0.6081
334,0.6084
335,0.6084
336,0.6084
337,0.6084
338,0.6087
339,0.6087
340,0.6090
341,0.6090
342,0.6093
343,0.6096
344,0.6099
345,0.6099
346,0.6099
347,0.6099
348,0.6102
349,0.6102
350,0.6105
351,0.6105
352,0.6105
353,0.6108
354,0.6108
355,0.6108
356,0.6110
357,0.6110
358,0.6110
359,0.6110
360,0.6113
361,0.6113
362,0.6116
363,0.6116
364,0.6119
365,0.6119
366,0.6119
367,0.6122
368,0.6122
369,0.6122
370,0.6122
371,0.6122
372,0.6122
373,0.6125
374,0.6125
375,0.6125
376,0.6125
377,0.6125
378,0.6128
379,0.6131
380,0.6131
381,0.6131
382,0.6131
383,0.6131
384,0.6131
385,0.6134
386,0.6137
387,0.6137
388,0.6140
389,0.6140
390,0.6140
391,0.6140
392,0.6140
393,0.6140
394,0.6140
395,0.6140
396,0.6140
397,0.6143
398,0.6143
399,0.6143
400,0.6143
401,0.6143
402,0.6145
403,0.6145
404,0.6145
405,0.6145
406,0.6145
407,0.6148
408,0.6148
409,0.6151
410,0.6151
411,0.6154
412,0.6154
413,0.6154
414,0.6157
415,0.6157
416,0.6157
417,0.6157
418,0.6160
419,0.6160
420,0.6160
421,0.6163
422,0.6163
423,0.6163
424,0.6166
425,0.6166
426,0.6169
427,0.6172
428,0.6172
429,0.6175
430,0.6175
431,0.6183
432,0.6183
433,0.6183
434,0.6183
435,0.6192
436,0.6192
437,0.6195
438,0.6195
439,0.6198
440,0.6201
441,0.6201
442,0.6204
443,0.6204
444,0.6204
445,0.6207
446,0.6210
447,0.6210
448,0.6212
449,0.6212
450,0.6212
451,0.6215
452,0.6218
453,0.6224
454,0.6227
455,0.6227
456,0.6227
457,0.6227
458,0.6227
459,0.6227
460,0.6230
461,0.6230
462,0.6230
463,0.6230
464,0.6233
465,0.6236
466,0.6236
467,0.6242
468,0.6242
469,0.6242
470,0.6245
471,0.6245
472,0.6245
473,0.6245
474,0.6248
475,0.6250
476,0.6250
477,0.6253
478,0.6253
479,0.6253
480,0.6253
481,0.6253
482,0.6253
483,0.6253
484,0.6253
485,0.6256
486,0.6256
487,0.6256
488,0.6256
489,0.6259
490,0.6259
491,0.6262
492,0.6262
493,0.6265
494,0.6271
495,0.6271
496,0.6274
497,0.6274
498,0.6274
499,0.6277
500,0.6277
501,0.6277
502,0.6280
503,0.6280
504,0.6280
505,0.6285
506,0.6285
507,0.6285
508,0.6288
509,0.6288
510,0.6291
511,0.6291
512,0.6294
513,0.6294
514,0.6297
515,0.6297
516,0.6297
517,0.6297
518,0.6297
519,0.6300
520,0.6300
521,0.6303
522,0.6303
523,0.6306
524,0.6309
525,0.6312
526,0.6312
527,0.6315
528,0.6315
529,0.6317
530,0.6317
531,0.6320
532,0.6320
533,0.6323
534,0.6323
535,0.6326
536,0.6326
537,0.6326
538,0.6329
539,0.6332
540,0.6332
541,0.6338
542,0.6341
543,0.6341
544,0.6344
545,0.6347
546,0.6350
547,0.6350
548,0.6350
549,0.6350
550,0.6350
551,0.6352
552,0.6355
553,0.6355
554,0.6358
555,0.6358
556,0.6358
557,0.6358
558,0.6361
559,0.6370
560,0.6373
561,0.6373
562,0.6373
563,0.6373
564,0.6373
565,0.6376
566,0.6379
567,0.6382
568,0.6382
569,0.6382
570,0.6388
571,0.6390
572,0.6390
573,0.6390
574,0.6390
575,0.6393
576,0.6393
577,0.6396
578,0.6399
579,0.6405
580,0.6408
581,0.6411
582,0.6411
583,0.6414
584,0.6414
585,0.6417
586,0.6420
587,0.6420
588,0.6420
589,0.6423
590,0.6428
591,0.6431
592,0.6431
593,0.6434
594,0.6434
595,0.6434
596,0.6434
597,0.6434
598,0.6437
599,0.6437
600,0.6437
601,0.6437
602,0.6440
603,0.6440
604,0.6440
605,0.6440
606,0.6443
607,0.6443
608,0.6446
609,0.6446
610,0.6449
611,0.6449
612,0.6449
613,0.6452
614,0.6452
615,0.6455
616,0.6455
617,0.6455
618,0.6455
619,0.6460
620,0.6460
621,0.6460
622,0.6463
623,0.6463
624,0.6466
625,0.6472
626,0.6472
627,0.6472
628,0.6472
629,0.6472
630,0.6475
631,0.6475
632,0.6475
633,0.6478
634,0.6478
635,0.6481
636,0.6481
637,0.6481
638,0.6484
639,0.6484
640,0.6484
641,0.6487
642,0.6487
643,0.6490
644,0.6490
645,0.6490
646,0.6490
647,0.6492
648,0.6493
649,0.6495
650,0.6495
651,0.6495
652,0.6498
653,0.6498
654,0.6498
655,0.6498
656,0.6501
657,0.6501
658,0.6501
659,0.6501
660,0.6504
661,0.6507
662,0.6510
663,0.6510
664,0.6513
665,0.6513
666,0.6513
667,0.6516
668,0.6516
669,0.6519
670,0.6519
671,0.6522
672,0.6522
673,0.6522
674,0.6525
675,0.6525
676,0.6528
677,0.6528
678,0.6530
679,0.6530
680,0.6530
681,0.6533
682,0.6536
683,0.6536
684,0.6536
685,0.6539
686,0.6542
687,0.6545
688,0.6548
689,0.6548
690,0.6548
691,0.6548
692,0.6548
693,0.6548
694,0.6548
695,0.6551
696,0.6551
697,0.6551
698,0.6554
699,0.6557
700,0.6560
701,0.6563
702,0.6565
703,0.6568
704,0.6568
705,0.6571
706,0.6574
707,0.6580
708,0.6583
709,0.6583
710,0.6586
711,0.6586
712,0.6586
713,0.6592
714,0.6592
715,0.6595
716,0.6595
717,0.6595
718,0.6595
719,0.6597
720,0.6606
721,0.6606
722,0.6609
723,0.6612
724,0.6615
725,0.6621
726,0.6630
727,0.6630
728,0.6633
729,0.6633
730,0.6635
731,0.6638
732,0.6641
733,0.6644
734,0.6644
735,0.6644
736,0.6647
737,0.6647
738,0.6653
739,0.6656
740,0.6656
741,0.6659
742,0.6659
743,0.6662
744,0.6665
745,0.6665
746,0.6668
747,0.6668
748,0.6670
749,0.6676
750,0.6676
751,0.6676
752,0.6685
753,0.6700
754,0.6700
755,0.6700
756,0.6702
757,0.6702
758,0.6705
759,0.6708
760,0.6708
761,0.6711
762,0.6714
763,0.6717
764,0.6717
765,0.6723
766,0.6726
767,0.6726
768,0.6732
769,0.6743
770,0.6743
771,0.6746
772,0.6749
773,0.6758
774,0.6758
775,0.6758
776,0.6761
777,0.6764
778,0.6767
779,0.6770
780,0.6773
781,0.6773
782,0.6775
783,0.6775
784,0.6778
785,0.6790
786,0.6796
787,0.6796
788,0.6799
789,0.6799
790,0.6810
791,0.6813
792,0.6813
793,0.6813
794,0.6816
795,0.6816
