field,value
model,Attention
model_file,Test4_crossATTN_NOGRU.tflite
timestamp,19691231_182606
duration_s,1.168
steps,33
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.687
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,5.59515
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.976
M5_inf_p95_ms,1.495
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.8572
max_pos_error_in,24.3935
avg_crosstrack_in,0.7322
max_crosstrack_in,1.9383
avg_theta_error_rad,0.0473
avg_inference_ms,0.989
RMSE Cross Track,0.948
CT STD DEV,0.611
