time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02426,0.00000,0.00000,0.00022,-0.00000,0.00000,0.00000,6.40226,2.78562,0.39223,22.36068,0.00000,0.99978,6.98203,0.00000,2.52087,0.00000
0.08027,0.00391,-0.00000,0.00212,0.35180,0.00000,0.16303,8.31742,3.61349,0.50944,22.35719,0.00175,0.99788,9.06845,0.00000,1.59133,0.00000
0.11354,0.10162,0.00612,0.01078,2.22809,0.15636,0.30549,8.84443,3.81288,0.54139,22.26709,0.03997,0.98922,9.63130,0.00000,2.01425,0.00000
0.14559,0.25165,0.04882,0.02369,4.29982,0.93814,0.45970,8.94585,3.75337,0.54579,22.11387,0.06888,0.97631,9.70134,0.00000,1.27983,0.00000
0.18099,0.51408,0.10824,0.04454,8.09148,1.71993,0.64035,8.80550,3.59511,0.53529,21.85287,0.13309,0.95546,9.51113,0.00000,1.42800,0.00000
0.21391,0.87733,0.20883,0.06905,9.96777,2.22809,0.78575,8.52557,3.35427,0.51750,21.48356,0.20557,0.93095,9.16169,0.00000,1.31279,0.00000
0.24284,1.25463,0.33462,0.09553,11.92223,2.97079,0.98844,8.25692,3.13285,0.49315,21.09049,0.26179,0.90447,8.83128,0.00000,1.22996,0.00000
0.27199,1.69858,0.47541,0.12719,14.89302,3.43986,1.09859,7.92854,2.91840,0.46478,20.63153,0.33441,0.87281,8.44860,0.00000,1.23317,0.00000
0.30154,2.20441,0.66429,0.16159,17.16020,3.79166,1.18671,7.56755,2.70272,0.43333,20.09573,0.39168,0.83841,8.03570,0.00000,1.44317,0.00000
0.34009,2.92826,0.94323,0.21162,20.09189,3.98711,1.37911,6.90540,2.34850,0.37955,19.32535,0.46591,0.78838,7.29384,0.00000,1.56654,0.00000
0.37293,3.60827,1.22865,0.25965,22.55452,4.18255,1.46429,6.27531,1.91027,0.32311,18.59100,0.51473,0.74035,6.55962,0.00000,1.51054,0.00000
0.40883,4.42989,1.62753,0.31412,24.82170,4.69071,1.54360,5.53359,1.11814,0.26681,17.67842,0.52540,0.68588,5.64543,0.00000,1.19263,0.00000
0.43775,5.16063,2.00992,0.35839,26.58072,4.65163,1.56710,5.09651,0.49798,0.22982,16.85373,0.51018,0.64161,5.12078,0.00000,1.41254,0.00000
0.46627,5.87076,2.40372,0.40173,27.51886,4.26073,1.51423,4.65674,0.01958,0.20135,16.04178,0.47553,0.59827,4.65678,0.00000,1.22208,0.00000
0.50023,6.59458,2.82307,0.45187,28.53518,3.16623,1.42758,4.32059,-0.30190,0.18131,15.20571,0.42416,0.54813,4.33113,0.00000,1.23842,0.00000
0.53226,7.48627,3.28642,0.49497,29.31697,1.32904,1.31596,4.12742,-0.48246,0.17014,14.20090,0.40850,0.50503,4.15552,0.00000,1.25183,0.00000
0.57390,8.57773,3.88506,0.54534,29.16061,0.03909,1.15293,3.90956,-0.77766,0.15227,12.95611,0.36118,0.45466,3.98615,0.00000,1.51929,0.00000
0.61852,9.71062,4.47150,0.59252,29.12152,-2.30627,1.01634,3.95838,-0.88675,0.14123,11.68056,0.34329,0.40748,4.05649,0.00000,1.54525,0.00000
0.65477,10.55958,4.93226,0.62645,28.57427,-2.81443,0.92528,3.81759,-0.92599,0.12888,10.71464,0.31084,0.37355,3.92829,0.00000,1.54788,0.00000
0.68666,11.48511,5.41336,0.65514,28.26156,-3.98711,0.87241,3.19067,-1.03838,0.10528,9.67164,0.29444,0.34486,3.35539,0.00000,1.66367,0.00000
0.72257,12.29356,5.90123,0.68398,27.44068,-3.55713,0.78869,2.65002,-1.15869,0.08369,8.72864,0.21963,0.31602,2.89226,0.00000,1.57238,0.00000
0.75526,13.06893,6.35440,0.70924,27.01070,-3.79166,0.74169,2.16413,-1.23253,0.06578,7.83135,0.16106,0.29076,2.49050,0.00000,1.54846,0.00000
0.78627,13.82605,6.79253,0.73136,26.58072,-4.80798,0.70204,1.75026,-1.28779,0.05030,6.95741,0.10778,0.26864,2.17297,0.00000,1.79988,0.00000
0.81991,14.54702,7.26227,0.75300,25.44713,-4.10438,0.61685,1.43365,-1.33830,0.03802,6.10165,0.01005,0.24700,1.96122,0.00000,1.61379,0.00000
0.85249,15.18096,7.67781,0.77259,24.23536,-4.02620,0.60951,1.20612,-1.36389,0.03016,5.34937,0.07811,0.22741,1.82069,0.00000,1.64587,0.00000
0.89330,15.94764,8.23035,0.79835,23.41448,-3.71348,0.62713,-6.21306,-9.72813,-0.58738,48.40029,4.05236,1.79835,11.54290,1.00000,1.68496,0.00000
0.92947,16.59913,8.67645,0.81982,21.03004,-4.22164,0.56986,-8.79036,-12.04108,-0.77172,48.79511,3.40087,1.81982,14.90832,1.00000,1.43558,14.64838
0.96085,17.12052,8.97785,0.82601,18.84104,-5.31614,0.12778,-9.77889,-12.63386,-0.82642,49.06242,2.87948,1.82601,15.97627,1.00000,1.54554,15.76123
0.99004,17.58654,9.19369,0.82108,15.67480,-6.21520,-0.33633,-10.17554,-12.80205,-0.84645,49.25286,2.41346,1.82108,16.35342,1.00000,1.44025,16.15990
1.02347,17.98373,9.26871,0.79731,12.07859,-6.99698,-0.85478,-10.15289,-13.00904,-0.85484,49.30995,2.01627,1.79731,16.50201,1.00000,1.48458,16.29172
1.05596,18.35034,9.23853,0.76693,7.70059,-8.95145,-1.02515,-9.95893,-13.31744,-0.86212,49.26616,1.64966,1.76693,16.62933,1.00000,2.57950,16.38115
1.09758,18.74146,9.07108,0.71520,4.22164,-9.42052,-1.33211,-9.46202,-13.82437,-0.86768,49.08722,1.25854,1.71520,16.75241,1.00000,1.53212,0.00000
1.13138,19.03710,8.77383,0.66879,1.09450,-11.60952,-1.39673,-8.93314,-14.40447,-0.87486,48.78333,0.96290,1.66879,16.94962,1.00000,1.49683,0.00000
1.16840,19.28951,8.37092,0.61155,-1.25086,-12.89947,-1.53773,-8.40969,-15.03183,-0.87165,48.37614,0.71049,1.61155,17.22436,1.00000,1.43821,0.00000
1.19686,19.49886,7.97819,0.56726,-1.87629,-14.61939,-1.54948,-7.96350,-15.49474,-0.86453,47.98080,0.50114,1.56726,17.42137,1.00000,1.56946,0.00000
1.23153,19.67265,7.51696,0.51197,-3.16623,-16.26114,-1.64054,-7.47825,-15.82831,-0.84772,47.51809,0.32735,1.51197,17.50599,1.00000,1.44725,0.00000
