metric,value
model,AttentionGRU
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,1.0421
p95_ms,1.1451
p99_ms,1.9480
min_ms,0.9783
max_ms,2.5276
mean_ms,1.0645
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.9783
1,0.9829
2,0.9870
3,0.9923
4,0.9931
5,0.9952
6,0.9960
7,0.9969
8,0.9975
9,0.9978
10,0.9987
11,0.9990
12,0.9992
13,0.9995
14,0.9998
15,1.0004
16,1.0004
17,1.0010
18,1.0010
19,1.0010
20,1.0013
21,1.0016
22,1.0019
23,1.0019
24,1.0019
25,1.0019
26,1.0022
27,1.0028
28,1.0028
29,1.0030
30,1.0030
31,1.0033
32,1.0033
33,1.0033
34,1.0036
35,1.0036
36,1.0036
37,1.0036
38,1.0036
39,1.0039
40,1.0039
41,1.0039
42,1.0039
43,1.0039
44,1.0039
45,1.0042
46,1.0042
47,1.0042
48,1.0045
49,1.0045
50,1.0048
51,1.0048
52,1.0051
53,1.0054
54,1.0054
55,1.0054
56,1.0057
57,1.0057
58,1.0057
59,1.0057
60,1.0057
61,1.0057
62,1.0057
63,1.0057
64,1.0060
65,1.0060
66,1.0060
67,1.0063
68,1.0063
69,1.0063
70,1.0063
71,1.0063
72,1.0063
73,1.0065
74,1.0065
75,1.0068
76,1.0068
77,1.0068
78,1.0068
79,1.0068
80,1.0068
81,1.0071
82,1.0071
83,1.0074
84,1.0074
85,1.0074
86,1.0074
87,1.0074
88,1.0074
89,1.0077
90,1.0077
91,1.0077
92,1.0077
93,1.0080
94,1.0080
95,1.0080
96,1.0080
97,1.0080
98,1.0080
99,1.0083
100,1.0083
101,1.0083
102,1.0083
103,1.0083
104,1.0083
105,1.0083
106,1.0083
107,1.0083
108,1.0083
109,1.0086
110,1.0086
111,1.0086
112,1.0086
113,1.0086
114,1.0086
115,1.0086
116,1.0086
117,1.0089
118,1.0089
119,1.0089
120,1.0089
121,1.0089
122,1.0089
123,1.0089
124,1.0089
125,1.0089
126,1.0089
127,1.0089
128,1.0089
129,1.0092
130,1.0092
131,1.0092
132,1.0092
133,1.0092
134,1.0092
135,1.0095
136,1.0095
137,1.0095
138,1.0095
139,1.0095
140,1.0095
141,1.0098
142,1.0098
143,1.0098
144,1.0098
145,1.0098
146,1.0098
147,1.0098
148,1.0098
149,1.0100
150,1.0100
151,1.0100
152,1.0103
153,1.0103
154,1.0103
155,1.0106
156,1.0106
157,1.0109
158,1.0109
159,1.0109
160,1.0109
161,1.0109
162,1.0109
163,1.0112
164,1.0112
165,1.0112
166,1.0115
167,1.0115
168,1.0115
169,1.0118
170,1.0118
171,1.0118
172,1.0118
173,1.0118
174,1.0121
175,1.0121
176,1.0121
177,1.0121
178,1.0121
179,1.0121
180,1.0124
181,1.0124
182,1.0127
183,1.0127
184,1.0127
185,1.0127
186,1.0130
187,1.0130
188,1.0132
189,1.0132
190,1.0132
191,1.0135
192,1.0135
193,1.0138
194,1.0138
195,1.0138
196,1.0138
197,1.0138
198,1.0138
199,1.0138
200,1.0138
201,1.0138
202,1.0138
203,1.0138
204,1.0141
205,1.0141
206,1.0141
207,1.0141
208,1.0144
209,1.0144
210,1.0144
211,1.0144
212,1.0144
213,1.0147
214,1.0150
215,1.0150
216,1.0153
217,1.0153
218,1.0153
219,1.0153
220,1.0153
221,1.0153
222,1.0153
223,1.0156
224,1.0156
225,1.0159
226,1.0159
227,1.0159
228,1.0159
229,1.0162
230,1.0162
231,1.0162
232,1.0165
233,1.0165
234,1.0165
235,1.0165
236,1.0165
237,1.0165
238,1.0165
239,1.0165
240,1.0167
241,1.0167
242,1.0167
243,1.0168
244,1.0168
245,1.0170
246,1.0170
247,1.0170
248,1.0170
249,1.0173
250,1.0173
251,1.0173
252,1.0173
253,1.0173
