field,value
model,AttentionGRU
model_file,Test4_crossATTN.tflite
timestamp,19691231_184139
duration_s,2.374
steps,66
goal1,[20.0, 10.0, 1.0]
goal2,[20.0, -40.0, -1.0]
goal_switch_dist,5.00
goal_switch_time_s,0.883
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,16.99394
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,1.420
M5_inf_p95_ms,1.982
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,26.2851
max_pos_error_in,50.0149
avg_crosstrack_in,2.3845
max_crosstrack_in,5.1767
avg_theta_error_rad,0.9309
avg_inference_ms,1.468
RMSE Cross Track,3.026
CT STD DEV,1.877
