time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02519,0.00000,0.00000,0.00073,-0.00000,0.00000,0.00000,0.00000,-6.39844,0.00000,20.00000,6.32456,0.00073,6.39844,0.00000,0.66996
0.08257,0.00000,-0.01368,0.00106,0.00000,-0.74270,0.00587,0.00000,-8.31797,0.00000,19.98632,6.32023,0.00106,8.31797,0.00000,0.77350
0.11769,0.00196,-0.09381,0.00002,0.03909,-2.03264,-0.04994,0.00000,-8.89383,0.00000,19.90619,6.29675,0.00002,8.89383,0.00000,0.65946
0.15247,-0.00209,-0.23258,-0.00284,-0.07818,-4.02620,-0.09987,0.00000,-9.06659,0.00000,19.76742,6.24903,0.00284,9.06659,0.00000,0.65625
0.18865,-0.01861,-0.46314,-0.00707,-0.35180,-6.29338,-0.14540,0.00000,-8.46216,0.00000,19.53687,6.16045,0.00707,8.46216,0.00000,0.66237
0.22297,-0.02898,-0.77774,-0.01189,-0.27363,-8.87327,-0.14100,0.00000,-8.28084,0.00000,19.22228,6.05112,0.01189,8.28084,0.00000,0.58858
0.25539,-0.06492,-1.14279,-0.01650,-0.82088,-11.06227,-0.15715,0.00000,-8.22644,0.00000,18.85732,5.90158,0.01650,8.22644,0.00000,0.62767
0.29012,-0.10343,-1.55066,-0.02287,-0.97723,-12.70402,-0.19093,0.00000,-8.21012,0.00000,18.44963,5.73608,0.02287,8.21012,0.00000,0.50925
0.32347,-0.13216,-2.03092,-0.02718,-0.58634,-13.99397,-0.11603,0.00000,-8.20522,0.00000,17.96957,5.55694,0.02718,8.20522,0.00000,0.51975
0.35925,-0.18760,-2.60418,-0.03339,-0.93814,-15.94843,-0.17624,0.00000,-7.71157,0.00000,17.39683,5.32307,0.03339,7.71157,0.00000,0.54104
0.39967,-0.23925,-3.30838,-0.03975,-0.70361,-17.16020,-0.15568,0.00000,-7.56347,0.00000,16.69333,5.05138,0.03975,7.56347,0.00000,0.52792
0.43225,-0.27947,-3.91313,-0.04529,-0.35180,-18.41105,-0.16009,0.00000,-6.86279,0.00000,16.08930,4.82198,0.04529,6.86279,0.00000,0.44946
0.46332,-0.32315,-4.52156,-0.05014,-0.62543,-19.15375,-0.14834,0.00000,-6.65259,0.00000,15.48182,4.58815,0.05014,6.65259,0.00000,0.44829
0.50470,-0.36199,-5.27498,-0.05619,-0.03909,-20.20916,-0.14246,0.00000,-6.58953,0.00000,14.72947,4.31305,0.05619,6.58953,0.00000,0.54279
0.54366,-0.40273,-6.12227,-0.06185,0.15636,-20.87368,-0.14246,0.00000,-5.25811,0.00000,13.88357,4.00646,0.06185,5.25811,0.00000,0.46463
0.58679,-0.45854,-7.06268,-0.06812,0.07818,-21.18639,-0.14687,0.00000,-4.85868,0.00000,12.94545,3.65613,0.06812,4.85868,0.00000,0.52267
0.62230,-0.50134,-7.73953,-0.07308,0.07818,-21.22548,-0.14246,0.00000,-4.73885,0.00000,12.27071,3.40149,0.07308,4.73885,0.00000,0.64021
0.65796,-0.53753,-8.46982,-0.07768,0.42998,-20.24825,-0.14393,0.00000,-4.04666,0.00000,11.54270,3.13621,0.07768,4.04666,0.00000,1.33700
0.69409,-0.58110,-9.17609,-0.08180,0.35180,-19.62282,-0.12043,0.00000,-3.83900,0.00000,10.83950,2.87154,0.08180,3.83900,0.00000,0.56963
0.72817,-0.62760,-9.83315,-0.08642,0.27363,-18.72377,-0.14100,0.00000,-3.77670,0.00000,10.18621,2.61965,0.08642,3.77670,0.00000,0.53346
0.76600,-0.69473,-10.48844,-0.09108,-0.19545,-17.51200,-0.12337,0.00000,-3.10176,0.00000,9.53690,2.34874,0.09108,3.10176,0.00000,0.47513
0.80020,-0.73962,-11.01817,-0.09572,0.07818,-16.61295,-0.13218,0.00000,-2.89928,0.00000,9.01223,2.13864,0.09572,2.89928,0.00000,0.45208
0.82921,-0.76418,-11.53810,-0.09815,0.58634,-15.32300,-0.05875,0.00000,-2.18228,0.06872,8.49634,1.95092,0.09815,2.18228,0.00000,0.47133
