time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02311,0.00000,0.00000,-0.00067,-0.00000,0.00000,0.00000,6.23438,-0.65625,0.00000,20.00000,0.00000,0.00067,6.26882,0.00000,1.06050,0.00000
0.08296,0.01563,-0.00392,-0.00269,0.50816,-0.11727,0.03231,8.10469,-0.85312,0.00000,19.98437,0.00392,0.00269,8.14946,0.00000,1.02375,0.00000
0.12096,0.14266,-0.01189,0.00137,3.47895,-0.19545,0.14393,8.66578,-0.91219,0.00000,19.85734,0.01189,0.00137,8.71366,0.00000,0.89775,0.00000
0.15836,0.37525,-0.01518,0.00773,6.41064,-0.07818,0.17184,8.83411,-0.92991,0.00000,19.62475,0.01518,0.00773,8.88292,0.00000,1.00625,0.00000
0.19450,0.73273,0.00762,0.01611,9.26416,0.42998,0.26877,8.88461,-0.93522,0.00000,19.26727,0.00762,0.01611,8.93369,0.00000,0.66413,0.00000
0.22802,1.16230,0.03464,0.02637,12.50857,0.54725,0.33193,8.24351,-0.93682,0.00000,18.83773,0.03464,0.02637,8.29657,0.00000,0.51654,0.00000
0.25940,1.63082,0.06117,0.03769,14.81484,0.42998,0.37158,8.05118,-0.93729,0.00000,18.36928,0.06117,0.03769,8.10555,0.00000,0.53200,0.00000
0.29143,2.18706,0.09230,0.04885,17.19929,0.35180,0.33633,7.50129,-0.93744,0.00000,17.81318,0.09230,0.04885,7.55964,0.00000,0.53521,0.00000
0.32698,2.82957,0.11832,0.06051,19.50556,-0.07818,0.34368,7.33632,-0.93748,0.00000,17.17084,0.11832,0.06051,7.39598,0.00000,0.56875,0.00000
0.36422,3.68253,0.16307,0.07186,21.42093,-0.19545,0.26877,7.28683,-0.93749,0.00000,16.31828,0.16307,0.07186,7.34689,0.00000,0.58946,0.00000
0.39543,4.49610,0.21242,0.07977,23.57084,-0.31271,0.25702,6.61574,-0.93750,0.00000,15.50535,0.21242,0.07977,6.68183,0.00000,0.44421,0.00000
0.42554,5.23958,0.25694,0.08707,24.89988,-0.42998,0.24527,6.41441,-0.93750,0.00000,14.76265,0.25694,0.08707,6.48256,0.00000,0.41650,0.00000
0.45451,6.00747,0.29314,0.09316,25.44713,-0.85996,0.18946,5.69776,-0.93750,0.00000,13.99560,0.29314,0.09316,5.77437,0.00000,0.48417,0.00000
0.48458,6.79951,0.34597,0.09840,27.40159,-0.85996,0.16890,5.48277,-0.93750,0.00000,13.20502,0.34597,0.09840,5.56234,0.00000,0.44363,0.00000
0.51990,7.76784,0.40501,0.10368,28.45700,-1.09450,0.13953,5.41827,-1.59375,0.00000,12.23887,0.40501,0.10368,5.64780,0.00000,0.45033,0.00000
0.55131,8.74003,0.44782,0.10759,28.65245,-1.60266,0.11603,5.39892,-1.79062,0.00000,11.26887,0.44782,0.10759,5.68811,0.00000,0.46608,0.00000
0.59067,9.91833,0.47836,0.11209,29.94240,-2.46263,0.11162,4.73686,-1.84969,0.00000,10.09302,0.47836,0.11209,5.08520,0.00000,0.55504,0.00000
0.62495,10.89862,0.48936,0.11599,29.55150,-3.00988,0.12043,4.53825,-1.21116,0.00000,9.11452,0.48936,0.11599,4.69708,0.00000,0.62942,0.00000
0.65799,11.88755,0.49707,0.11988,29.86422,-3.28350,0.12190,3.98647,-1.01960,0.00000,8.12767,0.49707,0.11988,4.11480,0.00000,0.52471,0.00000
