metric,value
model,Hard
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.3068
p95_ms,0.4180
p99_ms,0.5860
min_ms,0.2564
max_ms,1.1999
mean_ms,0.3229
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.2564
1,0.2578
2,0.2578
3,0.2581
4,0.2581
5,0.2584
6,0.2587
7,0.2587
8,0.2587
9,0.2593
10,0.2593
11,0.2596
12,0.2596
13,0.2602
14,0.2602
15,0.2602
16,0.2605
17,0.2605
18,0.2605
19,0.2605
20,0.2605
21,0.2605
22,0.2605
23,0.2607
24,0.2607
25,0.2610
26,0.2610
27,0.2610
28,0.2610
29,0.2610
30,0.2610
31,0.2613
32,0.2613
33,0.2616
34,0.2616
35,0.2616
36,0.2616
37,0.2616
38,0.2619
39,0.2619
40,0.2619
41,0.2619
42,0.2619
43,0.2619
44,0.2619
45,0.2619
46,0.2622
47,0.2622
48,0.2622
49,0.2622
50,0.2622
51,0.2625
52,0.2625
53,0.2625
54,0.2625
55,0.2628
56,0.2628
57,0.2628
58,0.2628
59,0.2628
60,0.2628
61,0.2628
62,0.2628
63,0.2631
64,0.2631
65,0.2631
66,0.2631
67,0.2631
68,0.2631
69,0.2631
70,0.2631
71,0.2631
72,0.2631
73,0.2631
74,0.2634
75,0.2634
76,0.2634
77,0.2634
78,0.2634
79,0.2637
80,0.2637
81,0.2637
82,0.2637
83,0.2637
84,0.2640
85,0.2640
86,0.2640
87,0.2640
88,0.2640
89,0.2640
90,0.2640
91,0.2640
92,0.2643
93,0.2643
94,0.2643
95,0.2643
96,0.2643
97,0.2645
98,0.2645
99,0.2645
100,0.2645
101,0.2648
102,0.2648
103,0.2651
104,0.2651
105,0.2654
106,0.2654
107,0.2654
108,0.2654
109,0.2657
110,0.2657
111,0.2663
112,0.2663
113,0.2663
114,0.2663
115,0.2663
116,0.2666
117,0.2666
118,0.2666
119,0.2669
120,0.2669
121,0.2669
122,0.2669
123,0.2672
124,0.2675
125,0.2675
126,0.2680
127,0.2680
128,0.2680
129,0.2680
130,0.2680
131,0.2680
132,0.2683
133,0.2683
134,0.2683
135,0.2686
136,0.2686
137,0.2689
138,0.2689
139,0.2692
140,0.2692
141,0.2695
142,0.2695
143,0.2698
144,0.2698
145,0.2698
146,0.2701
147,0.2701
148,0.2701
149,0.2701
150,0.2701
151,0.2701
152,0.2701
153,0.2704
154,0.2704
155,0.2707
156,0.2707
157,0.2707
158,0.2710
159,0.2710
160,0.2710
161,0.2710
162,0.2710
163,0.2710
164,0.2713
165,0.2713
166,0.2713
167,0.2713
168,0.2713
169,0.2715
170,0.2715
171,0.2715
172,0.2718
173,0.2718
174,0.2718
175,0.2718
176,0.2718
177,0.2718
178,0.2721
179,0.2721
180,0.2721
181,0.2724
182,0.2724
183,0.2724
184,0.2724
185,0.2724
186,0.2724
187,0.2727
188,0.2727
189,0.2727
190,0.2730
191,0.2730
192,0.2730
193,0.2733
194,0.2733
195,0.2733
196,0.2733
197,0.2736
198,0.2739
199,0.2742
200,0.2742
201,0.2742
202,0.2742
203,0.2742
204,0.2742
205,0.2742
206,0.2745
207,0.2745
208,0.2745
209,0.2747
210,0.2747
211,0.2747
212,0.2750
213,0.2750
214,0.2750
215,0.2750
216,0.2753
217,0.2753
218,0.2753
219,0.2753
220,0.2753
221,0.2753
222,0.2756
223,0.2756
