metric,value
model,Hard
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.2896
p95_ms,0.3920
p99_ms,0.5224
min_ms,0.2546
max_ms,1.3230
mean_ms,0.3047
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.2546
1,0.2549
2,0.2552
3,0.2558
4,0.2567
5,0.2567
6,0.2573
7,0.2573
8,0.2573
9,0.2575
10,0.2575
11,0.2575
12,0.2578
13,0.2578
14,0.2578
15,0.2581
16,0.2581
17,0.2581
18,0.2584
19,0.2584
20,0.2584
21,0.2584
22,0.2587
23,0.2587
24,0.2587
25,0.2587
26,0.2587
27,0.2590
28,0.2590
29,0.2590
30,0.2590
31,0.2593
32,0.2593
33,0.2593
34,0.2593
35,0.2596
36,0.2596
37,0.2599
38,0.2599
39,0.2599
40,0.2599
41,0.2599
42,0.2599
43,0.2602
44,0.2602
45,0.2602
46,0.2602
47,0.2602
48,0.2605
49,0.2605
50,0.2605
51,0.2605
52,0.2605
53,0.2607
54,0.2607
55,0.2607
56,0.2607
57,0.2607
58,0.2610
59,0.2610
60,0.2610
61,0.2610
62,0.2610
63,0.2610
64,0.2613
65,0.2613
66,0.2613
67,0.2613
68,0.2613
69,0.2613
70,0.2613
71,0.2613
72,0.2613
73,0.2616
74,0.2616
75,0.2616
76,0.2616
77,0.2616
78,0.2616
79,0.2616
80,0.2619
81,0.2619
82,0.2619
83,0.2619
84,0.2619
85,0.2622
86,0.2622
87,0.2622
88,0.2622
89,0.2622
90,0.2622
91,0.2622
92,0.2625
93,0.2625
94,0.2625
95,0.2625
96,0.2625
97,0.2628
98,0.2631
99,0.2631
100,0.2631
101,0.2631
102,0.2631
103,0.2634
104,0.2634
105,0.2634
106,0.2634
107,0.2634
108,0.2634
109,0.2634
110,0.2634
111,0.2634
112,0.2637
113,0.2637
114,0.2637
115,0.2640
116,0.2640
117,0.2640
118,0.2640
119,0.2640
120,0.2640
121,0.2643
122,0.2643
123,0.2643
124,0.2643
125,0.2643
126,0.2643
127,0.2645
128,0.2645
129,0.2645
130,0.2645
131,0.2645
132,0.2648
133,0.2648
134,0.2648
135,0.2651
136,0.2651
137,0.2651
138,0.2651
139,0.2651
140,0.2651
141,0.2651
142,0.2651
143,0.2654
144,0.2654
145,0.2654
146,0.2654
147,0.2654
148,0.2657
149,0.2657
150,0.2657
151,0.2660
152,0.2660
153,0.2660
154,0.2660
155,0.2660
156,0.2660
157,0.2660
158,0.2660
159,0.2663
160,0.2666
161,0.2666
162,0.2669
163,0.2669
164,0.2669
165,0.2672
166,0.2672
167,0.2672
168,0.2672
169,0.2675
170,0.2675
171,0.2675
172,0.2677
173,0.2677
174,0.2680
175,0.2680
176,0.2683
177,0.2683
178,0.2683
179,0.2683
180,0.2686
181,0.2686
182,0.2686
183,0.2686
184,0.2686
185,0.2686
186,0.2689
187,0.2689
188,0.2689
189,0.2689
190,0.2692
191,0.2692
192,0.2692
193,0.2692
194,0.2692
195,0.2692
196,0.2695
197,0.2695
198,0.2695
199,0.2695
200,0.2695
201,0.2695
202,0.2695
203,0.2695
204,0.2698
205,0.2698
206,0.2698
207,0.2698
208,0.2701
209,0.2701
210,0.2701
211,0.2701
212,0.2704
213,0.2704
214,0.2704
215,0.2704
216,0.2707
217,0.2707
218,0.2710
219,0.2710
220,0.2710
221,0.2713
222,0.2713
223,0.2713
