field,value
model,Hard
model_file,Test1_HardSwitch.tflite
timestamp,19691231_182405
duration_s,5.540
steps,188
goal1,[0.0, 20.0, 0.75]
goal2,[20.0, 50.0, 0.75]
goal_switch_dist,5.00
goal_switch_time_s,-1.000
M2_handoff_fail_k,1
M2_handoff_fail_N,1
M2_handoff_fail_pct,100.0
M3_peak_control_jump,0.00000
M4_completion_k,0
M4_completion_N,1
M4_completion_pct,0.0
M5_inf_p50_ms,0.523
M5_inf_p95_ms,0.718
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,6.5119
max_pos_error_in,20.0000
avg_crosstrack_in,1.5701
max_crosstrack_in,1.8383
avg_theta_error_rad,0.0563
avg_inference_ms,0.549
RMSE Cross Track,1.668
CT STD DEV,0.565
