time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02933,0.00000,0.00000,0.00040,-0.00000,0.00000,0.00000,8.43750,3.98438,0.53996,22.36068,0.00000,0.99960,9.33095,0.00000,0.71283,0.00000
0.11045,0.06449,0.00402,0.01119,1.95446,0.19545,0.42739,8.43750,3.98438,0.53996,22.30121,0.02524,0.98881,9.33095,0.00000,0.51917,0.00000
0.14889,0.27057,0.09261,0.03442,5.47250,2.07173,0.68295,8.43750,3.28125,0.53996,22.07730,0.03817,0.96558,9.05307,0.00000,0.51888,0.00000
0.19258,0.64491,0.27524,0.07281,8.83418,3.75257,1.00312,8.43750,3.28125,0.53996,21.66080,0.04223,0.92719,9.05307,0.00000,0.42963,0.00000
0.22790,1.06913,0.50238,0.11301,12.19586,5.43341,1.26455,8.43750,3.28125,0.53996,21.17976,0.02879,0.88699,9.05307,0.00000,0.41329,0.00000
0.26247,1.56555,0.77306,0.16276,15.08847,6.29338,1.51129,8.43750,3.28125,0.46633,20.61469,0.00869,0.83724,9.05307,0.00000,0.44450,0.00000
0.29905,2.20996,1.13946,0.22398,18.21561,6.72336,1.73160,7.73438,2.57813,0.46633,19.87447,0.03084,0.77602,8.15275,0.00000,0.36663,0.00000
0.33702,2.96856,1.61404,0.29330,22.20272,7.50514,1.84469,8.43750,1.87500,0.46633,18.98405,0.11606,0.70670,8.64332,0.00000,0.45208,0.00000
0.37881,3.83600,2.15791,0.37153,25.72075,6.91880,1.90931,8.43750,1.40625,0.41724,17.96589,0.21458,0.62847,8.55388,0.00000,0.35612,0.00000
0.41593,4.83222,2.83897,0.44491,28.61336,6.44973,2.00184,7.73438,0.00000,0.34361,16.77325,0.37821,0.55509,7.73438,0.00000,0.55650,0.00000
0.45287,5.75545,3.47966,0.51959,30.72418,4.76889,2.02681,7.73438,-0.70313,0.26998,15.66595,0.53838,0.48041,7.76627,0.00000,0.36312,0.00000
0.49028,6.77050,4.18011,0.59270,33.14772,2.97079,1.93575,7.03125,-1.40625,0.26998,14.45306,0.71094,0.40730,7.17050,0.00000,0.41329,0.00000
