metric,value
model,MLP
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.2325
p95_ms,0.3535
p99_ms,0.4462
min_ms,0.1896
max_ms,0.7265
mean_ms,0.2502
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.1896
1,0.1902
2,0.1902
3,0.1905
4,0.1908
5,0.1908
6,0.1908
7,0.1910
8,0.1910
9,0.1910
10,0.1910
11,0.1910
12,0.1913
13,0.1916
14,0.1916
15,0.1916
16,0.1919
17,0.1919
18,0.1922
19,0.1922
20,0.1922
21,0.1928
22,0.1931
23,0.1931
24,0.1934
25,0.1937
26,0.1937
27,0.1937
28,0.1937
29,0.1937
30,0.1940
31,0.1940
32,0.1940
33,0.1943
34,0.1943
35,0.1943
36,0.1945
37,0.1945
38,0.1948
39,0.1948
40,0.1951
41,0.1951
42,0.1954
43,0.1957
44,0.1960
45,0.1960
46,0.1963
47,0.1963
48,0.1972
49,0.1975
50,0.1975
51,0.1978
52,0.1978
53,0.1980
54,0.1983
55,0.1983
56,0.1983
57,0.1983
58,0.1983
59,0.1986
60,0.1986
61,0.1989
62,0.1989
63,0.1989
64,0.1989
65,0.1992
66,0.1998
67,0.1998
68,0.1998
69,0.2001
70,0.2001
71,0.2004
72,0.2010
73,0.2010
74,0.2010
75,0.2013
76,0.2013
77,0.2018
78,0.2021
79,0.2024
80,0.2024
81,0.2024
82,0.2024
83,0.2024
84,0.2027
85,0.2027
86,0.2027
87,0.2027
88,0.2027
89,0.2033
90,0.2033
91,0.2036
92,0.2036
93,0.2039
94,0.2039
95,0.2039
96,0.2042
97,0.2042
98,0.2045
99,0.2045
100,0.2048
101,0.2048
102,0.2048
103,0.2048
104,0.2050
105,0.2050
106,0.2050
107,0.2053
108,0.2053
109,0.2053
110,0.2053
111,0.2053
112,0.2053
113,0.2056
114,0.2056
115,0.2056
116,0.2059
117,0.2059
118,0.2059
119,0.2059
120,0.2062
121,0.2062
122,0.2062
123,0.2062
124,0.2062
125,0.2062
126,0.2062
127,0.2065
128,0.2065
129,0.2065
130,0.2065
131,0.2065
132,0.2065
133,0.2065
134,0.2065
135,0.2068
136,0.2068
137,0.2068
138,0.2068
139,0.2068
140,0.2071
141,0.2071
142,0.2071
143,0.2074
144,0.2074
145,0.2074
146,0.2074
147,0.2074
148,0.2077
149,0.2077
150,0.2077
151,0.2077
152,0.2077
153,0.2080
154,0.2080
155,0.2080
156,0.2080
157,0.2080
158,0.2080
159,0.2083
160,0.2083
161,0.2083
162,0.2083
163,0.2083
164,0.2083
165,0.2083
166,0.2083
167,0.2085
168,0.2085
169,0.2085
170,0.2085
171,0.2088
172,0.2088
173,0.2088
