metric,value
model,MLP
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.2097
p95_ms,0.3042
p99_ms,0.3544
min_ms,0.1709
max_ms,1.2148
mean_ms,0.2205
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.1709
1,0.1718
2,0.1721
3,0.1724
4,0.1727
5,0.1730
6,0.1730
7,0.1730
8,0.1730
9,0.1733
10,0.1733
11,0.1733
12,0.1733
13,0.1735
14,0.1735
15,0.1735
16,0.1735
17,0.1735
18,0.1738
19,0.1738
20,0.1738
21,0.1738
22,0.1738
23,0.1741
24,0.1741
25,0.1741
26,0.1741
27,0.1741
28,0.1741
29,0.1741
30,0.1741
31,0.1741
32,0.1744
33,0.1744
34,0.1744
35,0.1744
36,0.1744
37,0.1744
38,0.1747
39,0.1747
40,0.1747
41,0.1747
42,0.1747
43,0.1747
44,0.1747
45,0.1747
46,0.1750
47,0.1750
48,0.1750
49,0.1750
50,0.1750
51,0.1750
52,0.1750
53,0.1750
54,0.1750
55,0.1750
56,0.1750
57,0.1750
58,0.1750
59,0.1750
60,0.1750
61,0.1750
62,0.1750
63,0.1750
64,0.1753
65,0.1753
66,0.1753
67,0.1753
68,0.1753
69,0.1753
70,0.1753
71,0.1753
72,0.1753
73,0.1753
74,0.1753
75,0.1753
76,0.1753
77,0.1753
78,0.1753
79,0.1753
80,0.1756
81,0.1756
82,0.1756
83,0.1756
84,0.1756
85,0.1756
86,0.1756
87,0.1759
88,0.1759
89,0.1759
90,0.1759
91,0.1759
92,0.1759
93,0.1759
94,0.1759
95,0.1759
96,0.1759
97,0.1762
98,0.1762
99,0.1762
100,0.1762
101,0.1762
102,0.1762
103,0.1762
104,0.1762
105,0.1762
106,0.1762
107,0.1765
108,0.1765
109,0.1765
110,0.1765
111,0.1765
112,0.1765
113,0.1765
114,0.1765
115,0.1765
116,0.1765
117,0.1765
118,0.1768
119,0.1768
120,0.1768
121,0.1768
122,0.1768
123,0.1768
124,0.1768
125,0.1768
126,0.1768
127,0.1768
128,0.1768
129,0.1768
130,0.1768
131,0.1768
132,0.1768
133,0.1768
134,0.1768
135,0.1768
136,0.1770
137,0.1770
138,0.1770
139,0.1770
140,0.1770
141,0.1770
142,0.1770
143,0.1773
144,0.1773
145,0.1773
146,0.1773
147,0.1773
148,0.1773
149,0.1773
150,0.1773
151,0.1773
152,0.1773
153,0.1773
154,0.1773
155,0.1773
156,0.1776
157,0.1776
158,0.1776
159,0.1776
160,0.1776
161,0.1776
162,0.1776
163,0.1779
164,0.1779
165,0.1779
166,0.1779
167,0.1779
168,0.1779
169,0.1779
170,0.1779
171,0.1782
172,0.1782
173,0.1782
