field,value
model,MLP
model_file,Test0_Baseline.tflite
timestamp,19691231_182549
duration_s,1.257
steps,38
goal1,[20.0, 0.0, 0.0]
goal2,[40.0, 0.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.721
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,7.74954
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.411
M5_inf_p95_ms,0.817
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,14.5776
max_pos_error_in,24.1875
avg_crosstrack_in,0.5664
max_crosstrack_in,1.5414
avg_theta_error_rad,0.0435
avg_inference_ms,0.452
RMSE Cross Track,0.813
CT STD DEV,0.591
