time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms,jumpMag
0.02302,0.00000,0.00000,0.00113,-0.00000,0.00000,0.00147,0.15369,6.95724,0.32253,20.00000,0.00000,0.74887,6.95894,0.00000,1.09521,0.00000
0.08175,-0.00197,0.01563,0.00631,-0.07818,0.82088,0.22618,0.23697,9.03054,0.41598,19.98437,0.00197,0.74369,9.03364,0.00000,0.96658,0.00000
0.11725,0.00907,0.12711,0.01767,0.23454,2.57989,0.35689,0.32722,9.59768,0.43577,19.87289,0.00907,0.73233,9.60326,0.00000,0.73558,0.00000
0.15076,0.02154,0.30131,0.03564,0.58634,5.08161,0.65651,0.46040,9.66001,0.43261,19.69870,0.02154,0.71436,9.67097,0.00000,0.70350,0.00000
0.18313,0.06595,0.58262,0.06064,1.40721,7.93513,0.76079,0.64959,9.50938,0.42252,19.41750,0.06595,0.68936,9.53154,0.00000,0.70613,0.00000
0.21787,0.10782,0.92197,0.08959,1.91538,9.73323,0.91353,0.89772,9.28879,0.40932,19.07833,0.10782,0.66041,9.33207,0.00000,0.70438,0.00000
0.25216,0.14417,1.36485,0.12571,2.11082,12.58675,1.11768,1.18836,9.00984,0.39217,18.63571,0.14417,0.62429,9.08787,0.00000,0.71167,0.00000
0.29288,0.16866,1.93944,0.17487,2.65807,14.93211,1.22490,1.50139,8.68493,0.36747,18.06135,0.16866,0.57513,8.81375,0.00000,0.55533,0.00000
0.32284,0.21420,2.56820,0.21391,4.10438,17.04293,1.36148,1.76143,8.38314,0.34360,17.43312,0.21420,0.53609,8.56620,0.00000,0.56350,0.00000
0.35578,0.24945,3.20211,0.26051,5.31614,18.84104,1.42758,2.03822,8.11378,0.31683,16.79974,0.24945,0.48949,8.36587,0.00000,0.56321,0.00000
0.38847,0.27543,3.89647,0.30641,6.21520,20.67823,1.43198,2.29169,7.80907,0.29008,16.10588,0.27543,0.44359,8.13840,0.00000,2.76821,0.00000
0.42421,0.27012,4.71917,0.35780,6.91880,21.73364,1.42023,2.57803,7.33274,0.26162,15.28322,0.27012,0.39220,7.77272,0.00000,0.56379,0.00000
0.45685,0.28234,5.56866,0.40385,8.67782,23.02359,1.42170,2.78262,6.84477,0.23531,14.43410,0.28234,0.34615,7.38877,0.00000,0.44246,0.00000
0.48595,0.26969,6.32160,0.44567,9.61596,23.64902,1.42170,2.92298,6.42874,0.20971,13.68106,0.26969,0.30433,7.06205,0.00000,0.44333,0.00000
0.51348,0.25771,7.07101,0.48424,10.35866,23.68811,1.33064,2.98895,6.04328,0.18559,12.93155,0.25771,0.26576,6.74204,0.00000,0.43050,0.00000
0.54166,0.23238,7.82757,0.51961,11.72679,24.58716,1.28805,3.01988,5.63622,0.16343,12.17465,0.23238,0.23039,6.39427,0.00000,0.43458,0.00000
0.57737,0.22881,8.80711,0.56371,13.09491,23.88356,1.20874,3.04423,5.11286,0.13805,11.19523,0.22881,0.18629,5.95052,0.00000,0.44217,0.00000
0.60658,0.21690,9.61581,0.59818,14.22850,23.21904,1.12356,2.90977,4.64318,0.11783,10.38645,0.21690,0.15182,5.47959,0.00000,0.43312,0.00000
0.63750,0.20884,10.40662,0.63174,15.67480,23.96173,1.08096,2.70992,4.22469,0.09990,9.59565,0.20884,0.11826,5.01914,0.00000,0.51742,0.00000
0.66779,0.23144,11.28156,0.66229,16.02661,22.00727,1.00900,2.51698,3.82855,0.08700,8.72151,0.23144,0.08771,4.58181,0.00000,0.43400,0.00000
0.69565,0.23682,12.05103,0.68869,16.45659,20.87368,0.88709,2.36218,3.46773,0.07779,7.95250,0.23682,0.06131,4.19584,0.00000,0.43692,0.00000
0.72309,0.24743,12.80819,0.71164,17.47291,20.87368,0.82688,2.23187,3.10269,0.06924,7.19606,0.24743,0.03836,3.82203,0.00000,0.43750,0.00000
0.75112,0.27235,13.51311,0.73432,17.43382,19.07557,0.80485,2.10681,2.77041,0.06081,6.49261,0.27235,0.01568,3.48049,0.00000,0.61133,0.00000
0.77976,0.30233,14.22147,0.75502,17.31656,17.86381,0.70791,1.96970,2.45789,0.05214,5.78644,0.30233,0.00502,3.14975,0.00000,0.60083,0.00000
0.80864,0.33273,14.93397,0.77409,17.55109,17.35564,0.61392,1.81108,2.10271,0.04256,5.07694,0.33273,0.02409,2.77514,0.00000,0.48708,0.00000
