time_s,relX,relY,heading,vx_in,vy_in,omega_in,vx_out,vy_out,omega_out,pos_error,cross_track_error,theta_error,vel_mag,goalswitch,inference_ms
0.02100,0.00000,0.00000,0.00034,-0.00000,0.00000,0.00000,9.97438,-0.15993,0.00126,30.00000,15.43487,0.00034,9.97566,0.00000,0.96192
0.07728,0.01759,-0.00197,-0.00318,0.82088,-0.07818,-0.06609,12.95587,-0.16355,0.00297,29.98241,15.42752,0.00318,12.95691,0.00000,0.66558
0.10761,0.17197,-0.01028,-0.00279,3.98711,-0.19545,0.07784,13.79977,-0.16679,0.00329,29.82804,15.35521,0.00279,13.80078,0.00000,0.56087
0.13933,0.38502,-0.00505,0.00009,6.84063,0.07818,0.10428,13.98474,-0.20338,0.00219,29.61498,15.24111,0.00009,13.98622,0.00000,0.67200
0.17244,0.77005,0.01058,0.00407,10.82773,0.35180,0.10868,13.91779,-0.25773,0.00013,29.22995,15.02961,0.00407,13.92018,0.00000,0.56000
0.20570,1.29760,0.04799,0.00940,15.98752,0.93814,0.18212,13.73295,-0.33274,-0.00273,28.70244,14.72611,0.00940,13.73698,0.00000,0.71721
0.23891,1.91883,0.08131,0.01688,18.72377,0.89905,0.22765,13.48432,-0.43099,-0.00657,28.08129,14.37792,0.01688,13.49121,0.00000,0.56525
0.27048,2.69023,0.12515,0.02358,22.63270,0.89905,0.19974,13.16070,-0.52957,-0.01035,27.31006,13.94345,0.02358,13.17135,0.00000,0.55883
0.30563,3.52979,0.17192,0.03059,26.11164,0.97723,0.21737,12.78749,-0.63130,-0.01425,26.47077,13.47139,0.03059,12.80307,0.00000,0.68046
0.33973,4.63864,0.23090,0.03942,29.94240,0.74270,0.26583,12.29934,-0.75227,-0.01897,25.36241,12.85031,0.03942,12.32232,0.00000,0.66733
0.37238,5.78858,0.28527,0.04762,34.12495,0.39089,0.23646,11.75573,-0.87350,-0.02352,24.21310,12.21206,0.04762,11.78814,0.00000,0.66675
0.40461,7.03384,0.35029,0.05697,37.33027,0.11727,0.31577,11.15401,-1.01113,-0.02844,22.96883,11.51562,0.05697,11.19975,0.00000,0.60579
0.43762,8.32663,0.40554,0.06483,40.06652,-0.42998,0.23646,10.51032,-1.13958,-0.03327,21.67716,10.80311,0.06483,10.57192,0.00000,0.48300
0.46753,9.69802,0.49000,0.07144,42.92004,-0.11727,0.20709,9.81602,-1.26116,-0.03790,20.30789,10.02511,0.07144,9.89670,0.00000,0.49000
0.50000,11.05153,0.57885,0.07762,44.60088,-0.23454,0.14834,9.09961,-1.38305,-0.04226,18.95731,9.25255,0.07762,9.20412,0.00000,0.56204
0.53340,12.60613,0.65363,0.08119,45.65629,-1.09450,0.09987,8.34744,-1.47296,-0.04402,17.40615,8.38859,0.08119,8.47640,0.00000,0.55475
0.57440,14.61888,0.76352,0.08368,47.21986,-1.05541,0.06609,7.43453,-1.50420,-0.04474,15.40006,7.25881,0.08368,7.58518,0.00000,0.73150
0.61278,16.35312,0.85181,0.08615,49.05706,-1.36813,0.05140,6.57140,-1.47615,-0.04501,13.67344,6.29084,0.08615,6.73515,0.00000,0.70292
0.64708,18.13604,0.87690,0.08665,49.05706,-3.40077,0.03084,5.71491,-1.39825,-0.04375,11.89633,5.35203,0.08665,5.88348,0.00000,0.72742
0.68716,20.01941,0.89934,0.08882,48.93979,-3.51804,0.04259,4.83799,-1.32961,-0.04225,10.02103,4.36379,0.08882,5.01737,0.00000,0.83679
0.71971,21.73394,0.92527,0.08923,49.40886,-3.79166,0.00294,3.99742,-1.21621,-0.04196,8.31769,3.45944,0.08923,4.17834,0.00000,0.84729
0.75312,23.30231,0.96300,0.08918,47.68893,-3.36168,0.01175,3.20934,-1.09309,-0.04203,6.76657,2.62017,0.08918,3.39039,0.00000,0.67112
