metric,value
model,Sigmoid
warmup_calls,200
measured_calls,1000
deadline_ms,10.0
p50_ms,0.3870
p95_ms,0.4888
p99_ms,0.7303
min_ms,0.3611
max_ms,1.5216
mean_ms,0.4081
violations,0
violation_pct,0.00

call_index,latency_ms
0,0.3611
1,0.3614
2,0.3634
3,0.3634
4,0.3640
5,0.3643
6,0.3652
7,0.3658
8,0.3658
9,0.3658
10,0.3660
11,0.3660
12,0.3663
13,0.3663
14,0.3666
15,0.3666
16,0.3666
17,0.3666
18,0.3666
19,0.3666
20,0.3669
21,0.3669
22,0.3669
23,0.3669
24,0.3672
25,0.3672
26,0.3675
27,0.3678
28,0.3681
29,0.3681
30,0.3681
31,0.3681
32,0.3681
33,0.3681
34,0.3684
35,0.3684
36,0.3684
37,0.3684
38,0.3687
39,0.3687
40,0.3687
41,0.3687
42,0.3687
43,0.3687
44,0.3687
45,0.3687
46,0.3690
47,0.3690
48,0.3690
49,0.3690
50,0.3690
51,0.3690
52,0.3692
53,0.3692
54,0.3692
55,0.3692
56,0.3692
57,0.3692
58,0.3692
59,0.3692
60,0.3692
61,0.3692
62,0.3692
63,0.3695
64,0.3695
65,0.3695
66,0.3695
67,0.3695
68,0.3695
69,0.3695
70,0.3695
71,0.3695
72,0.3695
73,0.3695
74,0.3698
75,0.3698
76,0.3698
77,0.3698
78,0.3698
79,0.3698
80,0.3698
81,0.3698
82,0.3698
83,0.3698
84,0.3698
85,0.3701
86,0.3701
87,0.3701
88,0.3701
89,0.3701
90,0.3701
91,0.3701
92,0.3704
93,0.3704
94,0.3704
95,0.3704
96,0.3704
97,0.3704
98,0.3704
99,0.3704
100,0.3704
101,0.3704
102,0.3704
103,0.3704
104,0.3704
105,0.3704
106,0.3707
107,0.3707
108,0.3707
109,0.3707
110,0.3707
111,0.3707
112,0.3707
113,0.3707
114,0.3707
115,0.3710
116,0.3710
117,0.3710
118,0.3710
119,0.3710
120,0.3710
121,0.3710
122,0.3710
123,0.3710
124,0.3710
125,0.3710
126,0.3710
127,0.3713
128,0.3713
129,0.3713
130,0.3713
131,0.3713
132,0.3716
133,0.3716
134,0.3716
135,0.3716
136,0.3716
137,0.3716
138,0.3716
139,0.3716
140,0.3716
141,0.3716
142,0.3716
143,0.3716
144,0.3716
145,0.3716
146,0.3716
147,0.3716
148,0.3719
149,0.3719
150,0.3719
151,0.3719
152,0.3719
153,0.3719
154,0.3719
155,0.3719
156,0.3719
157,0.3719
158,0.3719
159,0.3719
160,0.3719
161,0.3719
162,0.3719
163,0.3719
164,0.3719
165,0.3719
166,0.3722
167,0.3722
168,0.3722
169,0.3722
170,0.3722
171,0.3722
172,0.3722
173,0.3722
174,0.3722
175,0.3722
176,0.3722
177,0.3725
178,0.3725
179,0.3725
180,0.3725
181,0.3725
182,0.3725
183,0.3725
184,0.3725
185,0.3725
186,0.3725
187,0.3725
188,0.3728
189,0.3728
190,0.3728
191,0.3728
192,0.3728
193,0.3728
194,0.3728
195,0.3728
196,0.3728
197,0.3728
198,0.3728
199,0.3728
200,0.3730
201,0.3730
202,0.3730
203,0.3730
204,0.3730
205,0.3733
206,0.3733
207,0.3733
208,0.3733
209,0.3733
210,0.3733
211,0.3733
212,0.3733
213,0.3733
214,0.3733
215,0.3733
216,0.3733
217,0.3733
218,0.3733
219,0.3736
220,0.3736
221,0.3736
222,0.3736
223,0.3736
224,0.3736
225,0.3739
226,0.3739
227,0.3739
228,0.3739
229,0.3739
230,0.3739
231,0.3739
232,0.3739
233,0.3739
234,0.3739
235,0.3739
236,0.3742
237,0.3742
238,0.3742
239,0.3742
240,0.3742
241,0.3742
242,0.3742
243,0.3742
244,0.3742
245,0.3742
246,0.3742
247,0.3745
248,0.3745
249,0.3745
250,0.3745
251,0.3745
252,0.3745
253,0.3745
254,0.3745
255,0.3745
256,0.3748
257,0.3748
258,0.3748
259,0.3748
260,0.3748
261,0.3748
262,0.3748
263,0.3748
264,0.3748
265,0.3748
266,0.3751
267,0.3751
268,0.3751
269,0.3751
270,0.3751
271,0.3751
272,0.3751
273,0.3751
274,0.3751
275,0.3751
276,0.3751
277,0.3754
278,0.3754
279,0.3754
280,0.3754
281,0.3754
282,0.3754
283,0.3754
284,0.3754
285,0.3754
286,0.3754
287,0.3754
288,0.3754
289,0.3757
290,0.3757
291,0.3757
292,0.3757
293,0.3757
294,0.3760
295,0.3760
296,0.3760
297,0.3760
298,0.3760
299,0.3760
300,0.3760
301,0.3760
302,0.3760
303,0.3760
304,0.3760
305,0.3760
306,0.3760
307,0.3762
308,0.3762
309,0.3762
310,0.3762
311,0.3762
312,0.3763
313,0.3765
314,0.3765
315,0.3765
316,0.3765
317,0.3765
318,0.3765
319,0.3765
320,0.3765
321,0.3768
322,0.3768
323,0.3768
324,0.3768
325,0.3768
326,0.3768
327,0.3768
328,0.3768
329,0.3768
330,0.3771
331,0.3771
332,0.3771
333,0.3771
334,0.3771
335,0.3771
336,0.3771
337,0.3771
338,0.3771
339,0.3774
340,0.3777
341,0.3777
342,0.3777
343,0.3777
344,0.3777
345,0.3777
346,0.3777
347,0.3777
348,0.3780
349,0.3780
350,0.3780
351,0.3780
352,0.3780
353,0.3780
354,0.3780
355,0.3783
356,0.3783
357,0.3783
358,0.3786
359,0.3786
360,0.3786
361,0.3786
362,0.3786
363,0.3786
364,0.3786
365,0.3789
366,0.3789
367,0.3789
368,0.3789
369,0.3792
370,0.3792
371,0.3792
372,0.3792
373,0.3795
374,0.3795
375,0.3795
376,0.3795
377,0.3795
378,0.3798
379,0.3798
380,0.3798
381,0.3798
382,0.3798
383,0.3798
384,0.3798
385,0.3798
386,0.3800
387,0.3800
388,0.3800
389,0.3800
390,0.3803
391,0.3803
392,0.3803
393,0.3803
394,0.3803
395,0.3806
396,0.3806
397,0.3806
398,0.3806
399,0.3806
400,0.3809
401,0.3809
402,0.3809
403,0.3812
404,0.3812
405,0.3812
406,0.3812
407,0.3815
408,0.3815
409,0.3815
410,0.3815
411,0.3818
412,0.3818
413,0.3818
414,0.3821
415,0.3821
416,0.3821
417,0.3821
418,0.3824
419,0.3824
420,0.3824
421,0.3824
422,0.3827
423,0.3827
424,0.3827
425,0.3827
426,0.3827
427,0.3830
428,0.3830
429,0.3830
430,0.3830
431,0.3832
432,0.3832
433,0.3832
434,0.3832
435,0.3833
436,0.3835
437,0.3835
438,0.3835
439,0.3835
440,0.3835
441,0.3835
442,0.3835
443,0.3838
444,0.3838
445,0.3838
446,0.3838
447,0.3838
448,0.3841
449,0.3841
450,0.3841
451,0.3841
452,0.3841
453,0.3841
454,0.3841
455,0.3844
456,0.3844
457,0.3844
458,0.3844
459,0.3844
460,0.3844
461,0.3844
462,0.3844
463,0.3844
464,0.3844
465,0.3847
466,0.3847
467,0.3850
468,0.3850
469,0.3850
470,0.3850
471,0.3850
472,0.3850
473,0.3853
474,0.3853
475,0.3853
476,0.3853
477,0.3853
478,0.3853
479,0.3853
480,0.3853
481,0.3856
