field,value
model,test1
model_file,Test3_SigmoidBlend.tflite
timestamp,20260811_214133
duration_s,1.905
steps,60
goal1,[0.0, -20.0, 0.0]
goal2,[10.0, -50.0, 0.0]
goal_switch_dist,5.00
goal_switch_time_s,0.928
M2_handoff_fail_k,0
M2_handoff_fail_N,1
M2_handoff_fail_pct,0.0
M3_peak_control_jump,13.41926
M4_completion_k,1
M4_completion_N,1
M4_completion_pct,100.0
M5_inf_p50_ms,0.560
M5_inf_p95_ms,0.911
M5_deadline_ms,10.0
M5_deadline_misses,0
M5_deadline_miss_pct,0.00
avg_pos_error_in,18.6366
max_pos_error_in,36.1927
avg_crosstrack_in,2.2990
max_crosstrack_in,6.3246
avg_theta_error_rad,0.0566
avg_inference_ms,0.598
RMSE Cross Track,3.112
CT STD DEV,2.115
